MatchId,Season,Home_id,Away_id,Date,Score_home,Score_away,1xBet_H,1xBet_A,bet-at-home_H,bet-at-home_A,bet365_H,bet365_A,bwin_H,bwin_A,Coolbet_H,Coolbet_A,Marathonbet_H,Marathonbet_A,Pinnacle_H,Pinnacle_A,Unibet_H,Unibet_A,William Hill_H,William Hill_A
687,2018-2019,Minnesota Timberwolves,Dallas Mavericks,2019-01-12,115,119,-179,0.92938733125649,-200,0.9299297903008322,-200,0.9299297903008322,-222,0.9303885000628641,-192,0.9297370587380758,-185,0.9295548186111948,-185,0.9295548186111948,-192,0.9297370587380758,-200,0.9299297903008322
688,2018-2019,New York Knicks,Indiana Pacers,2019-01-11,106,121,304,0.9376638598439282,287,0.9378471995294424,320,0.9375091553628453,320,0.9375091553628453,305,0.9376537137235612,305,0.9376537137235612,319,0.937518368306589,320,0.9375091553628453,300,0.9377051229956553
689,2018-2019,Toronto Raptors,Brooklyn Nets,2019-01-11,122,105,-556,0.9329015587509858,-667,0.9331803682354916,-556,0.9329015587509858,-556,0.9329015587509858,-588,0.9329927169446075,-526,0.9328060437319334,-526,0.9328060437319334,-556,0.9329015587509858,-588,0.9329927169446075
690,2018-2019,Philadelphia 76ers,Atlanta Hawks,2019-01-11,121,123,-455,0.9325299229381865,-625,0.9330865008509747,-500,0.9327140112298766,-625,0.9330865008509747,-476,0.9326201532161679,-500,0.9327140112298766,-500,0.9327140112298766,-476,0.9326201532161679,-556,0.9329015587509858
691,2018-2019,Washington Wizards,Milwaukee Bucks,2019-01-11,113,106,110,0.9431535625482292,104,0.943653026041194,104,0.943653026041194,104,0.943653026041194,106,0.9434801958166444,110,0.9431535625482292,112,0.9429990738401953,108,0.9433138265350686,110,0.9431535625482292
692,2018-2019,Sacramento Kings,Detroit Pistons,2019-01-11,112,102,-312,0.9315935624496133,-385,0.932158248995206,-370,0.9320603572058341,-357,0.9319688821594527,-345,0.9318783426070982,-323,0.9316949348101996,-312,0.9315935624496133,-345,0.9318783426070982,-345,0.9318783426070982
693,2018-2019,San Antonio Spurs,Oklahoma City Thunder,2019-01-11,154,147,102,0.943832701027112,-101,0.9254168957302547,100,0.9440196356084205,100,0.9440196356084205,102,0.943832701027112,106,0.9434801958166444,106,0.9434801958166444,102,0.943832701027112,100,0.9440196356084205
694,2018-2019,Denver Nuggets,Los Angeles Clippers,2019-01-11,121,100,-208,0.9301077672941913,-227,0.9304804066240366,-222,0.9303885000628641,-222,0.9303885000628641,-222,0.9303885000628641,-213,0.9302122456109703,-208,0.9301077672941913,-227,0.9304804066240366,-227,0.9304804066240366
695,2018-2019,Miami Heat,Boston Celtics,2019-01-10,115,99,117,0.9426361585562358,112,0.9429990738401953,120,0.9424330479855493,125,0.9421163702140487,120,0.9424330479855493,119,0.9424996039917629,120,0.9424330479855493,116,0.9427062169849654,120,0.9424330479855493
696,2018-2019,Los Angeles Lakers,Detroit Pistons,2019-01-10,113,100,-112,0.9263088247456784,-122,0.9269812324291469,-120,0.9268556422337221,-133,0.9276049658250801,-118,0.9267258305191235,-111,0.9262349799732976,-110,0.9261598046644777,-112,0.9263088247456784,-133,0.9276049658250801
697,2018-2019,Portland Trail Blazers,Chicago Bulls,2019-01-10,124,112,-556,0.9329015587509858,-588,0.9329927169446075,-526,0.9328060437319334,-500,0.9327140112298766,-556,0.9329015587509858,-500,0.9327140112298766,-500,0.9327140112298766,-526,0.9328060437319334,-556,0.9329015587509858
698,2018-2019,Utah Jazz,Orlando Magic,2019-01-10,106,93,-417,0.9323436032732639,-556,0.9329015587509858,-500,0.9327140112298766,-556,0.9329015587509858,-500,0.9327140112298766,-435,0.9324359084283632,-435,0.9324359084283632,-435,0.9324359084283632,-500,0.9327140112298766
699,2018-2019,Dallas Mavericks,Phoenix Suns,2019-01-10,104,94,-556,0.9329015587509858,-833,0.933458840404312,-714,0.9332723351414941,-714,0.9332723351414941,-667,0.9331803682354916,-588,0.9329927169446075,-625,0.9330865008509747,-556,0.9329015587509858,-714,0.9332723351414941
700,2018-2019,Houston Rockets,Milwaukee Bucks,2019-01-10,109,116,104,0.943653026041194,102,0.943832701027112,100,0.9440196356084205,100,0.9440196356084205,108,0.9433138265350686,106,0.9434801958166444,110,0.9431535625482292,106,0.9434801958166444,104,0.943653026041194
701,2018-2019,Memphis Grizzlies,San Antonio Spurs,2019-01-10,96,86,120,0.9424330479855493,114,0.9428500537589942,120,0.9424330479855493,125,0.9421163702140487,120,0.9424330479855493,122,0.9423032362709508,123,0.9422399264593229,120,0.9424330479855493,120,0.9424330479855493
702,2018-2019,New Orleans Pelicans,Cleveland Cavaliers,2019-01-10,140,124,-1250,0.9338323733536535,-2500,0.9342057569495567,-2000,0.934112383060806,-1667,0.9340191398283242,-2000,0.934112383060806,-1250,0.9338323733536535,-1429,0.9339258871969152,-1667,0.9340191398283242,-2000,0.934112383060806
703,2018-2019,Brooklyn Nets,Atlanta Hawks,2019-01-09,116,100,-357,0.9319688821594527,-455,0.9325299229381865,-400,0.9322488172093131,-400,0.9322488172093131,-417,0.9323436032732639,-370,0.9320603572058341,-370,0.9320603572058341,-385,0.932158248995206,-400,0.9322488172093131
704,2018-2019,Boston Celtics,Indiana Pacers,2019-01-09,135,108,-270,0.9311308066351691,-323,0.9316949348101996,-312,0.9315935624496133,-303,0.9315051647811118,-278,0.9312296921582421,-278,0.9312296921582421,-286,0.9313230648995406,-312,0.9315935624496133,-303,0.9315051647811118
705,2018-2019,Washington Wizards,Philadelphia 76ers,2019-01-09,123,106,141,0.9412550066755674,131,0.9417685118619696,145,0.9410695742471443,140,0.9413030323404826,141,0.9412550066755674,143,0.9411609845991838,144,0.9411149598065486,135,0.9415539126795927,138,0.9414011869841054
706,2018-2019,Golden State Warriors,New York Knicks,2019-01-09,122,95,-3333,0.9342991214841143,-10000,0.934485990653271,-5000,0.9343925607401884,-3333,0.9342991214841143,-3333,0.9342991214841143,-2500,0.9342057569495567,-2500,0.9342057569495567,-3333,0.9342991214841143,-5000,0.9343925607401884
707,2018-2019,Los Angeles Clippers,Charlotte Hornets,2019-01-09,128,109,-250,0.93085601519157,-278,0.9312296921582421,-263,0.9310393656188048,-250,0.93085601519157,-244,0.9307648292962044,-244,0.9307648292962044,-244,0.9307648292962044,-278,0.9312296921582421,-278,0.9312296921582421
708,2018-2019,Phoenix Suns,Sacramento Kings,2019-01-09,115,111,146,0.9410248146954561,137,0.9414513468938976,145,0.9410695742471443,125,0.9421163702140487,143,0.9411609845991838,147,0.9409806682883114,143,0.9411609845991838,133,0.9416595865193996,145,0.9410695742471443
709,2018-2019,Oklahoma City Thunder,Minnesota Timberwolves,2019-01-09,117,119,-370,0.9320603572058341,-400,0.9322488172093131,-357,0.9319688821594527,-357,0.9319688821594527,-370,0.9320603572058341,-357,0.9319688821594527,-345,0.9318783426070982,-357,0.9319688821594527,-345,0.9318783426070982
710,2018-2019,Miami Heat,Denver Nuggets,2019-01-08,99,103,-122,0.9269812324291469,-135,0.9277075316107751,-132,0.9275525261752512,-133,0.9276049658250801,-128,0.9273346373976672,-125,0.9271621421154131,-128,0.9273346373976672,-130,0.9274452450595705,-133,0.9276049658250801
711,2018-2019,Toronto Raptors,Atlanta Hawks,2019-01-08,104,101,-1111,0.9337389901163181,-1667,0.9340191398283242,-1250,0.9338323733536535,-1429,0.9339258871969152,-1250,0.9338323733536535,-1000,0.9336457934588775,-1111,0.9337389901163181,-1111,0.9337389901163181,-1250,0.9338323733536535
712,2018-2019,Cleveland Cavaliers,Indiana Pacers,2019-01-08,115,123,415,0.9368368775113999,376,0.9370716510903425,375,0.9370783147583587,400,0.9369217436113648,384,0.9370195944462066,425,0.9367836360430258,399,0.9369276287981965,409,0.9368700751328568,400,0.9369217436113648
713,2018-2019,Philadelphia 76ers,Washington Wizards,2019-01-08,132,115,-357,0.9319688821594527,-385,0.932158248995206,-357,0.9319688821594527,-385,0.932158248995206,-357,0.9319688821594527,-323,0.9316949348101996,-333,0.9317812972186468,-333,0.9317812972186468,-345,0.9318783426070982
714,2018-2019,Portland Trail Blazers,New York Knicks,2019-01-08,111,101,-769,0.9333656997208398,-833,0.933458840404312,-833,0.933458840404312,-1000,0.9336457934588775,-909,0.9335524288795316,-714,0.9332723351414941,-769,0.9333656997208398,-769,0.9333656997208398,-909,0.9335524288795316
715,2018-2019,Sacramento Kings,Orlando Magic,2019-01-08,111,95,-185,0.9295548186111948,-196,0.9298353811850656,-185,0.9295548186111948,-200,0.9299297903008322,-192,0.9297370587380758,-189,0.9296606000983767,-182,0.9294724477810121,-182,0.9294724477810121,-189,0.9296606000983767
716,2018-2019,Dallas Mavericks,Los Angeles Lakers,2019-01-08,97,107,-294,0.931411373356566,-345,0.9318783426070982,-303,0.9315051647811118,-357,0.9319688821594527,-323,0.9316949348101996,-303,0.9315051647811118,-294,0.931411373356566,-312,0.9315935624496133,-303,0.9315051647811118
