,gameState,gameState,gameState,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,away,away,away
teamData,winner,teamHome,teamAway,location,rivalry,datetime,endtime,neutral,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,salary,avgSalary,numberOfGamesPlayed,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,salary,avgSalary,numberOfGamesPlayed
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110230SAS,,,,,,10/23/2021 20:30,,,,,,,,,,1.0,,,,,,2,,,,,,,-1.0,2.0,,"[1, 1]","[0, 1]",,,2
202110230TOR,,,,,,10/23/2021 19:30,,,,,,,,,,1.0,,,,,,2,,,,,,,-1.0,2.0,,"[0, 1]","[0, 1]",,,1
202110240BRK,,,,,,10/24/2021 16:00,,,,,,,,,,2.0,,,,,,2,,,,,,,,2.0,,,0.0,,,2
202110240HOU,,,,,,10/24/2021 19:00,,,,,,,,,,2.0,,,,,,2,,,,,,,,2.0,,,0.0,,,2
202110240LAL,,,,,,10/24/2021 21:30,,,,,,,,,,2.0,,,,,,2,,,,,,,,1.0,,,0.0,,,2
202110240NYK,,,,,,10/24/2021 19:00,,,,,,,,,,2.0,,,,,,2,,,,,,,,2.0,,,0.0,,,2
202110240OKC,,,,,,10/24/2021 19:00,,,,,,,,,,2.0,,,,,,2,,,,,,,,2.0,,,0.0,,,2
202110240SAC,,,,,,10/24/2021 21:00,,,,,,,,,2.0,2.0,,"[2, 0]","[1, 0]",,,2,,,,,,,,3.0,,,0.0,,,2
202110250ATL,,,,,,10/25/2021 19:30,,,,,,,,,,2.0,,,,,,2,,,,,,,,2.0,,,0.0,,,2
202110250BRK,,,,,,10/25/2021 19:30,,,,,,,,,,1.0,,,,,,3,,,,,,,,3.0,,,0.0,,,2
202110250CHO,,,,,,10/25/2021 19:00,,,,,,,,,,1.0,,,,,,3,,,,,,,,1.0,,,0.0,,,3
202110250DEN,,,,,,10/25/2021 21:00,,,,,,,,,,3.0,,,,,,2,,,,,,,,2.0,,,0.0,,,3
202110250IND,,,,,,10/25/2021 19:00,,,,,,,,,,2.0,,,,,,3,,,,,,,,2.0,,,0.0,,,3
202110250LAC,,,,,,10/25/2021 22:30,,,,,,,,,,2.0,,,,,,2,,,,,,,,2.0,,,0.0,,,2
202110250MIA,,,,,,10/25/2021 19:30,,,,,,,,,,2.0,,,,,,2,,,,,,,,1.0,,,0.0,,,3
202110250MIN,,,,,,10/25/2021 20:00,,,,,,,,,,2.0,,,,,,2,,,,,,,,2.0,,,0.0,,,3
202110250TOR,,,,,,10/25/2021 19:30,,,,,,,,,,2.0,,,,,,3,,,,,,,,2.0,,,0.0,,,3
202110260DAL,,,,,,10/26/2021 20:30,,,,,,,,,,3.0,,,,,,2,,,,,,,,2.0,,,0.0,,,3
202110260NYK,,,,,,10/26/2021 19:30,,,,,,,,,,2.0,,,,,,3,,,,,,,,2.0,,,0.0,,,3
202110260OKC,,,,,,10/26/2021 20:00,,,,,,,,,,2.0,,,,,,3,,,,,,,,2.0,,,0.0,,,3
202110260SAS,,,,,,10/26/2021 20:30,,,,,,,,,,3.0,,,,,,3,,,,,,,,2.0,,,0.0,,,3
202110260UTA,,,,,,10/26/2021 22:00,,,,,,,,,,4.0,,,,,,2,,,,,,,,1.0,,,0.0,,,3
202110270BOS,,,,,,10/27/2021 19:30,,,,,,,,,,2.0,,,,,,4,,,,,,,,2.0,,,0.0,,,3
202110270BRK,,,,,,10/27/2021 19:30,,,,,,,,,,2.0,,,,,,4,,,,,,,,2.0,,,0.0,,,3
202110270LAC,,,,,,10/27/2021 22:30,,,,,,,,,,2.0,,,,,,3,,,,,,,,2.0,,,0.0,,,4
202110270MIL,,,,,,10/27/2021 20:00,,,,,,,,,,2.0,,,,,,4,,,,,,,,2.0,,,0.0,,,3
202110270NOP,,,,,,10/27/2021 19:30,,,,,,,,,,2.0,,,,,,4,,,,,,,,2.0,,,0.0,,,3
202110270OKC,,,,,,10/27/2021 20:00,,,,,,,,,,1.0,,,,,,4,,,,,,,,1.0,,,0.0,,,4
202110270ORL,,,,,,10/27/2021 19:00,,,,,,,,,,2.0,,,,,,4,,,,,,,,2.0,,,0.0,,,4
202110270PHO,,,,,,10/27/2021 22:00,,,,,,,,,,4.0,,,,,,3,,,,,,,,3.0,,,0.0,,,3
202110270POR,,,,,,10/27/2021 22:00,,,,,,,,,,2.0,,,,,,3,,,,,,,,3.0,,,0.0,,,3
202110270TOR,,,,,,10/27/2021 19:30,,,,,,,,,,2.0,,,,,,4,,,,,,,,2.0,,,0.0,,,4
202110280CHI,,,,,,10/28/2021 20:00,,,,,,,,,,3.0,,,,,,4,,,,,,,,2.0,,,0.0,,,4
202110280DAL,,,,,,10/28/2021 20:30,,,,,,,,,,2.0,,,,,,3,,,,,,,,2.0,,,0.0,,,4
202110280GSW,,,,,,10/28/2021 22:00,,,,,,,,,,2.0,,,,,,4,,,,,,,,1.0,,,0.0,,,4
202110280HOU,,,,,,10/28/2021 20:00,,,,,,,,,,2.0,,,,,,4,,,,,,,,2.0,,,0.0,,,3
202110280PHI,,,,,,10/28/2021 19:00,,,,,,,,,,2.0,,,,,,4,,,,,,,,3.0,,,0.0,,,3
202110280WAS,,,,,,10/28/2021 19:00,,,,,,,,,,1.0,,,,,,4,,,,,,,,1.0,,,0.0,,,4
202110290BRK,,,,,,10/29/2021 19:30,,,,,,,,,,2.0,,,,,,5,,,,,,,,2.0,,,0.0,,,5
202110290DEN,,,,,,10/29/2021 22:00,,,,,,,,,,3.0,,,,,,4,,,,,,,,1.0,,,0.0,,,4
202110290LAL,,,,,,10/29/2021 22:30,,,,,,,,,,2.0,,,,,,5,,,,,,,,2.0,,,0.0,,,5
202110290MIA,,,,,,10/29/2021 19:30,,,,,,,,,,2.0,,,,,,4,,,,,,,,2.0,,,0.0,,,5
202110290NOP,,,,,,10/29/2021 20:00,,,,,,,,,,2.0,,,,,,5,,,,,,,,2.0,,,0.0,,,4
202110290POR,,,,,,10/29/2021 22:00,,,,,,,,,,2.0,,,,,,4,,,,,,,,2.0,,,1.0,,,4
202110290TOR,,,,,,10/29/2021 19:00,,,,,,,,,,2.0,,,,,,5,,,,,,,,2.0,,,0.0,,,5
202110300CHI,,,,,,10/30/2021 20:00,,,,,,,,,,2.0,,,,,,5,,,,,,,,2.0,,,0.0,,,4
202110300DET,,,,,,10/30/2021 19:00,,,,,,,,,,2.0,,,,,,4,,,,,,,,1.0,,,0.0,,,6
202110300GSW,,,,,,10/30/2021 20:30,,,,,,,,,,2.0,,,,,,5,,,,,,,,3.0,,,0.0,,,5
202110300IND,,,,,,10/30/2021 19:30,,,,,,,,,,1.0,,,,,,6,,,,,,,,1.0,,,1.0,,,6
202110300MEM,,,,,,10/30/2021 20:00,,,,,,,,,,2.0,,,,,,5,,,,,,,,1.0,,,0.0,,,5
202110300MIL,,,,,,10/30/2021 20:00,,,,,,,,,,3.0,,,,,,5,,,,,,,,2.0,,,0.0,,,5
202110300MIN,,,,,,10/30/2021 21:00,,,,,,,,,,3.0,,,,,,4,,,,,,,,1.0,,,0.0,,,5
202110300NOP,,,,,,10/30/2021 19:00,,,,,,,,,,1.0,,,,,,6,,,,,,,,2.0,,,0.0,,,5
202110300PHI,,,,,,10/30/2021 19:30,,,,,,,,,,2.0,,,,,,5,,,,,,,,2.0,,,0.0,,,5
202110300PHO,,,,,,10/30/2021 22:00,,,,,,,,,,3.0,,,,,,4,,,,,,,,1.0,,,0.0,,,6
202110300WAS,,,,,,10/30/2021 17:00,,,,,,,,,,2.0,,,,,,5,,,,,,,,3.0,,,0.0,,,5
202110310BRK,,,,,,10/31/2021 19:30,,,,,,,,,,2.0,,,,,,6,,,,,,,,1.0,,,0.0,,,5
202110310CHO,,,,,,10/31/2021 19:00,,,,,,,,,,2.0,,,,,,6,,,,,,,,2.0,,,0.0,,,5
202110310DAL,,,,,,10/31/2021 15:30,,,,,,,,,,2.0,,,,,,5,,,,,,,,2.0,,,0.0,,,5
202110310LAL,,,,,,10/31/2021 22:30,,,,,,,,,,2.0,,,,,,6,,,,,,,,3.0,,,0.0,,,5
202110310MIL,,,,,,10/31/2021 19:00,,,,,,,,,,1.0,,,,,,6,,,,,,,,1.0,,,0.0,,,5
202111010ATL,,,,,,11/1/2021 19:30,,,,,,,,,,2.0,,,,,,6,,,,,,,,2.0,,,1.0,,,6
202111010BOS,,,,,,11/1/2021 19:30,,,,,,,,,,2.0,,,,,,6,,,,,,,,2.0,,,0.0,,,6
202111010CHO,,,,,,11/1/2021 19:00,,,,,,,,,,1.0,,,,,,7,,,,,,,,2.0,,,0.0,,,7
202111010IND,,,,,,11/1/2021 19:00,,,,,,,,,,2.0,,,,,,7,,,,,,,,2.0,,,0.0,,,6
202111010LAC,,,,,,11/1/2021 22:30,,,,,,,,,,3.0,,,,,,5,,,,,,,,2.0,,,0.0,,,6
202111010MEM,,,,,,11/1/2021 20:00,,,,,,,,,,2.0,,,,,,6,,,,,,,,2.0,,,0.0,,,6
202111010MIN,,,,,,11/1/2021 20:00,,,,,,,,,,2.0,,,,,,5,,,,,,,,2.0,,,0.0,,,7
202111010NYK,,,,,,11/1/2021 19:30,,,,,,,,,,2.0,,,,,,6,,,,,,,,2.0,,,0.0,,,7
202111010PHI,,,,,,11/1/2021 19:00,,,,,,,,,,2.0,,,,,,6,,,,,,,,1.0,,,0.0,,,6
202111020DAL,,,,,,11/2/2021 19:30,,,,,,,,,,2.0,,,,,,6,,,,,,,,3.0,,,0.0,,,6
202111020DET,,,,,,11/2/2021 19:00,,,,,,,,,,2.0,,,,,,6,,,,,,,,2.0,,,0.0,,,7
202111020LAL,,,,,,11/2/2021 22:30,,,,,,,,,,2.0,,,,,,7,,,,,,,,2.0,,,0.0,,,6
202111020PHO,,,,,,11/2/2021 22:00,,,,,,,,,,3.0,,,,,,5,,,,,,,,3.0,,,0.0,,,7
202111020UTA,,,,,,11/2/2021 21:00,,,,,,,,,,2.0,,,,,,6,,,,,,,,2.0,,,0.0,,,6
202111030BRK,,,,,,11/3/2021 19:30,,,,,,,,,,3.0,,,,,,7,,,,,,,,2.0,,,0.0,,,7
202111030CLE,,,,,,11/3/2021 19:00,,,,,,,,,,2.0,,,,,,8,,,,,,,,2.0,,,0.0,,,7
202111030GSW,,,,,,11/3/2021 22:00,,,,,,,,,,4.0,,,,,,6,,,,,,,,2.0,,,0.0,,,8
202111030IND,,,,,,11/3/2021 19:00,,,,,,,,,,2.0,,,,,,8,,,,,,,,2.0,,,0.0,,,7
202111030MEM,,,,,,11/3/2021 20:00,,,,,,,,,,2.0,,,,,,7,,,,,,,,2.0,,,0.0,,,7
202111030MIN,,,,,,11/3/2021 20:00,,,,,,,,,,2.0,,,,,,6,,,,,,,,2.0,,,0.0,,,6
202111030ORL,,,,,,11/3/2021 19:00,,,,,,,,,,2.0,,,,,,8,,,,,,,,2.0,,,0.0,,,7
202111030PHI,,,,,,11/3/2021 19:00,,,,,,,,,,2.0,,,,,,7,,,,,,,,2.0,,,0.0,,,7
202111030SAC,,,,,,11/3/2021 22:00,,,,,,,,,,1.0,,,,,,7,,,,,,,,1.0,,,0.0,,,8
202111030SAS,,,,,,11/3/2021 20:30,,,,,,,,,,2.0,,,,,,7,,,,,,,,1.0,,,1.0,,,7
