gameid,ref,att
202101180LAL,"['Jacyn Goble', 'Gediminas Petraitis', 'Josh Tiven']",0
202101180MEM,"['Matt Boland', 'Ken Mauer', 'Michael Smith']",204
202101180MIA,"['Tony Brown', 'Natalie Sago', 'Tom Washington']",0
202101180NYK,"['Brent Barnaky', 'Matt Myers', 'Sean Wright']",0
202101180POR,"['James Capers Jr.', 'Matt Kallio', 'Ben Taylor']",0
202101180TOR,"['Kevin Scott', 'Aaron Smith', 'C.J. Washington']",0
202101190DEN,"['Tony Brothers', 'Jason Goldenberg', 'Leon Wood']",0
202101190UTA,"['Tyler Ford', 'Eric Lewis', 'Evan Scott']",1932
202101200ATL,"['Kevin Cutler', 'C.J. Washington', 'Zach Zarba']",0
202101200CLE,"['Suyash Mehta', 'Aaron Smith', 'Sean Wright']",1944
202101200GSW,"['Mitchell Ervin', 'Ben Taylor', 'Dedric Taylor']",0
202101200HOU,"['Nick Buchert', 'Leroy Richardson', 'Josh Tiven']",3022
202101200IND,"['J.B. DeRosa', 'Bill Kennedy', 'Tom Washington']",0
202101200LAC,"['Curtis Blair', 'Gediminas Petraitis', 'Danielle Scott']",0
202101200MIN,"['John Conley', 'Marat Kogut', 'Ken Mauer']",0
202101200PHI,"['Derrick Collins', 'Courtney Kirkland', 'Derek Richardson']",0
202101200TOR,"['Ray Acosta', 'Karl Lane', 'Kevin Scott']",0
202101210GSW,"['John Butler', 'Ben Taylor', 'Dedric Taylor']",0
202101210MIL,"['Eric Dalen', 'Scott Foster', 'James Williams']",0
202101210UTA,"['Tony Brown', 'Tyler Ford', 'Evan Scott']",1932
202101220CHO,"['Dannica Mosher', 'Michael Smith', 'Tom Washington']",0
202101220CLE,"['Scott Twardoski', 'C.J. Washington', 'Sean Wright']",1944
202101220DET,"['Bill Kennedy', 'Marat Kogut', 'Brandon Schwab']",0
202101220IND,"['Matt Boland', 'Sean Corbin', 'Suyash Mehta']",0
202101220LAC,"['Matt Kallio', 'Eric Lewis', 'Justin Van Duyne']",0
202101220MIN,"['Ken Mauer', 'Andy Nagy', 'Aaron Smith']",0
202101220PHI,"['Derrick Collins', 'David Guthrie', 'Leroy Richardson']",0
202101220PHO,"['James Capers Jr.', 'Gediminas Petraitis', 'Danielle Scott']",0
202101220SAC,"['John Butler', 'Jacyn Goble', 'Tre Maddox']",0
202101220SAS,"['John Conley', 'Derek Richardson', 'Josh Tiven']",0
202101220TOR,"['Ray Acosta', 'Kevin Cutler', 'Courtney Kirkland']",0
202101230BRK,"['J.B. DeRosa', 'Kane Fitzgerald', 'Nate Green']",0
202101230CHI,"['Brent Barnaky', 'Simone Jelks', 'Rodney Mott']",0
202101230DAL,"['Curtis Blair', 'Mousa Dagher', 'Tyler Ford']",0
202101230DET,"['Bill Kennedy', 'Marat Kogut', 'Brandon Schwab']",0
202101230MIN,"['Andy Nagy', 'Aaron Smith', 'Zach Zarba']",0
202101230PHO,"['Scott Foster', 'Danielle Scott', 'Dedric Taylor']",0
