,gameid,ref,att
954,201803050UTA,"['Bennie Adams', 'Lauren Holtkamp-Sterling', 'Sean Wright']",18306
955,201803060CHO,"['Pat Fraher', 'Justin Van Duyne', 'Tom Washington']",15600
956,201803060DAL,"['James Capers Jr.', 'Scott Wall', 'Gary Zielinski']",19504
957,201803060GSW,"['Derrick Collins', 'John Goble', 'Lauren Holtkamp-Sterling']",19596
958,201803060LAC,"['Tre Maddox', 'Ed Malloy', 'Rodney Mott']",16412
959,201803060OKC,"['Brent Barnaky', 'Matt Boland', 'Mike Callahan']",18203
960,201803060POR,"['Curtis Blair', 'Tony Brown', 'Ken Mauer']",19393
961,201803060TOR,"['Mark Ayotte', 'Tony Brothers', 'C.J. Washington']",19800
962,201803060WAS,"['Ray Acosta', 'Scott Foster', 'Marat Kogut']",16582
963,201803070CHI,"['Mark Ayotte', 'Bill Kennedy', 'Justin Van Duyne']",20210
964,201803070DEN,"['Jason Phillips', 'Josh Tiven', 'Leon Wood']",20062
965,201803070DET,"['Nick Buchert', 'Marc Davis', 'Gediminas Petraitis']",17769
966,201803070IND,"['Tony Brothers', 'Michael Smith', 'Dedric Taylor']",16432
967,201803070LAL,"['Courtney Kirkland', 'Derek Richardson', 'Bill Spooner']",18997
968,201803070MIL,"['Sean Corbin', 'Derrick Stafford', 'Haywoode Workman']",17195
969,201803070SAC,"['Curtis Blair', 'Ron Garretson', 'John Goble']",17583
970,201803080CHO,"['Bennie Adams', 'Kevin Cutler', 'James Williams']",14173
971,201803080GSW,"['Ed Malloy', 'Rodney Mott', 'Gary Zielinski']",19596
972,201803080MIA,"['Mitchell Ervin', 'Brian Forte', 'Sean Wright']",19600
973,201803080MIN,"['Scott Foster', 'Mark Lindsay', 'Kevin Scott']",18978
974,201803080OKC,"['David Guthrie', 'Lauren Holtkamp-Sterling', 'Ben Taylor']",18203
975,201803090DEN,"['Ron Garretson', 'Bill Kennedy', 'J.T. Orr']",19807
976,201803090DET,"['Kevin Scott', 'Dedric Taylor', 'James Williams']",17406
977,201803090IND,"['Tyler Ford', 'Mark Lindsay', 'Zach Zarba']",17923
978,201803090LAC,"['John Goble', 'Courtney Kirkland', 'Justin Van Duyne']",19130
979,201803090MEM,"['Sean Corbin', 'Aaron Smith', 'Bill Spooner']",15622
980,201803090MIL,"['Mark Ayotte', 'Mike Callahan', 'Jacyn Goble']",18717
981,201803090NOP,"['Brian Forte', 'Derrick Stafford', 'Haywoode Workman']",18143
982,201803090POR,"['Jason Phillips', 'Josh Tiven', 'Scott Twardoski']",19487
983,201803090SAC,"['Tony Brown', 'James Capers Jr.', 'Tre Maddox']",17583
984,201803090TOR,"['Pat Fraher', 'Scott Wall', 'Tom Washington']",20131
985,201803100CHO,"['Scott Foster', 'Karl Lane', 'Derek Richardson']",19336
986,201803100DAL,"['Mitchell Ervin', 'Ed Malloy', 'Michael Smith']",19579
987,201803100LAC,"['Marc Davis', 'Leroy Richardson', 'Josh Tiven']",16561
988,201803100MIA,"['Brent Barnaky', 'Kane Fitzgerald', 'Ben Taylor']",19689
989,201803100OKC,"['Tony Brothers', 'Derrick Collins', 'Leon Wood']",18203
990,201803110ATL,"['Ray Acosta', 'Pat Fraher', 'Karl Lane']",15266
991,201803110BOS,"['Curtis Blair', 'Kevin Cutler', 'David Guthrie']",18624
992,201803110BRK,"['Tyler Ford', 'Jacyn Goble', 'Derrick Stafford']",16901
993,201803110DAL,"['Marat Kogut', 'Tre Maddox', 'Bill Spooner']",20394
994,201803110DEN,"['Courtney Kirkland', 'Aaron Smith', 'Zach Zarba']",19520
995,201803110LAL,"['Tony Brown', 'James Capers Jr.', 'Scott Twardoski']",18997
996,201803110MIN,"['Nick Buchert', 'Mike Callahan', 'Scott Wall']",18978
997,201803110NOP,"['Kevin Scott', 'Jonathan Sterling', 'James Williams']",18062
998,201803110NYK,"['Matt Boland', 'Dedric Taylor', 'Sean Wright']",19812
999,201803120HOU,"['Scott Foster', 'Ben Taylor', 'Josh Tiven']",18092
1000,201803120MEM,"['Ken Mauer', 'Gediminas Petraitis', 'Leon Wood']",14112
1001,201803120OKC,"['Ed Malloy', 'J.T. Orr', 'Michael Smith']",18203
1002,201803120POR,"['Mark Ayotte', 'Marc Davis', 'Leroy Richardson']",19786
1003,201803130ATL,"['Nick Buchert', 'Kane Fitzgerald', 'Tre Maddox']",16739
1004,201803130BRK,"['Curtis Blair', 'Mark Lindsay', 'Jason Phillips']",16654
1005,201803130CHI,"['Kevin Cutler', 'Eric Lewis', 'C.J. Washington']",20912
1006,201803130LAL,"['Sean Corbin', 'Tom Washington', 'Haywoode Workman']",18997
1007,201803130NOP,"['Rodney Mott', 'J.T. Orr', 'Josh Tiven']",15507
1008,201803130NYK,"['Brent Barnaky', 'Bill Kennedy', 'Jonathan Sterling']",18597
1009,201803130PHI,"['Bennie Adams', 'John Goble', 'Derek Richardson']",20531
1010,201803130PHO,"['Marat Kogut', 'Aaron Smith', 'Zach Zarba']",18055
1011,201803130SAS,"['Kevin Scott', 'Bill Spooner', 'Justin Van Duyne']",18418
1012,201803130UTA,"['Tony Brown', 'James Capers Jr.', 'Scott Twardoski']",18306
1013,201803130WAS,"['David Guthrie', 'Lauren Holtkamp-Sterling', 'Sean Wright']",17078
1014,201803140BOS,"['Courtney Kirkland', 'Karl Lane', 'Ken Mauer']",18624
1015,201803140GSW,"['Matt Boland', 'Marc Davis', 'Brian Forte']",19596
1016,201803140ORL,"['J.B. DeRosa', 'Michael Smith', 'James Williams']",17713
1017,201803140SAC,"['Tony Brothers', 'Haywoode Workman', 'Gary Zielinski']",17583
1018,201803150ATL,"['Bennie Adams', 'Jason Goldenberg', 'Bill Kennedy']",14486
1019,201803150DEN,"['Mike Callahan', 'Jacyn Goble', 'Marat Kogut']",18697
1020,201803150HOU,"['James Capers Jr.', 'Derrick Collins', 'Aaron Smith']",18055
1021,201803150IND,"['Tre Maddox', 'Rodney Mott', 'Derrick Stafford']",17923
1022,201803150MEM,"['Brent Barnaky', 'John Goble', 'Derek Richardson']",16511
1023,201803150NYK,"['Ed Malloy', 'Leroy Richardson', 'Ben Taylor']",18894
1024,201803150POR,"['Matt Boland', 'Tony Brothers', 'Brian Forte']",19806
1025,201803150SAS,"['Kevin Cutler', 'Pat Fraher', 'Zach Zarba']",18418
1026,201803150UTA,"['Sean Corbin', 'Justin Van Duyne', 'Tom Washington']",18306
1027,201803160GSW,"['Scott Foster', 'Marat Kogut', 'Dedric Taylor']",19596
1028,201803160LAL,"['Ron Garretson', 'Mark Lindsay', 'Justin Van Duyne']",18997
1029,201803160OKC,"['Gediminas Petraitis', 'Jason Phillips', 'Kevin Scott']",18203
1030,201803160ORL,"['John Goble', 'Scott Wall', 'C.J. Washington']",18981
1031,201803160PHI,"['Mark Ayotte', 'Bill Kennedy', 'Leon Wood']",20666
1032,201803160TOR,"['Kane Fitzgerald', 'Tyler Ford', 'Lauren Holtkamp-Sterling']",19800
1033,201803170BRK,"['Ray Acosta', 'Ken Mauer', 'Josh Tiven']",13877
1034,201803170CHI,"['Courtney Kirkland', 'Tre Maddox', 'Bill Spooner']",22983
1035,201803170MEM,"['Curtis Blair', 'Karl Lane', 'Sean Wright']",16501
1036,201803170MIL,"['Eric Lewis', 'Leroy Richardson', 'Gary Zielinski']",18717
1037,201803170NOP,"['Nick Buchert', 'David Guthrie', 'Derek Richardson']",18495
1038,201803170NYK,"['Pat Fraher', 'Brett Nansel', 'Michael Smith']",17760
1039,201803170PHO,"['Tony Brothers', 'Jacyn Goble', 'James Williams']",18055
1040,201803170POR,"['Sean Corbin', 'J.T. Orr', 'Tom Washington']",19727
1041,201803170SAS,"['Derrick Collins', 'Derrick Stafford', 'Scott Twardoski']",18418
1042,201803170UTA,"['Matt Boland', 'Mike Callahan', 'Brian Forte']",18306
1043,201803170WAS,"['Tony Brown', 'Aaron Smith', 'Zach Zarba']",18249
1044,201803180LAC,"['Scott Foster', 'Mark Lindsay', 'Dedric Taylor']",17776
1045,201803180MIN,"['Marat Kogut', 'Ed Malloy', 'Leon Wood']",18978
1046,201803180NOP,"['Tyler Ford', 'Bill Kennedy', 'Gediminas Petraitis']",18277
1047,201803180TOR,"['Brent Barnaky', 'Marc Davis', 'Haywoode Workman']",19800
1048,201803190BRK,"['Nick Buchert', 'Kane Fitzgerald', 'Haywoode Workman']",12856
1049,201803190CLE,"['Brent Barnaky', 'Ken Mauer', 'Kevin Scott']",20562
1050,201803190IND,"['Leroy Richardson', 'Bill Spooner', 'Gary Zielinski']",16603
1051,201803190MIA,"['Mark Ayotte', 'Gediminas Petraitis', 'Jason Phillips']",19600
1052,201803190NYK,"['David Guthrie', 'Rodney Mott', 'Scott Twardoski']",18835
1053,201803190PHI,"['Curtis Blair', 'Scott Wall', 'Sean Wright']",20530
1054,201803190SAC,"['Kevin Cutler', 'Eric Lewis', 'James Williams']",17583
1055,201803190SAS,"['Bennie Adams', 'James Capers Jr.', 'Karl Lane']",18418
1056,201803200BOS,"['Matt Boland', 'Tony Brown', 'Ed Malloy']",18624
1057,201803200MIN,"['Brian Forte', 'John Goble', 'Justin Van Duyne']",16351
1058,201803200NOP,"['J.B. DeRosa', 'Courtney Kirkland', 'Tom Washington']",14484
1059,201803200ORL,"['Mark Ayotte', 'Jacyn Goble', 'Zach Zarba']",16228
1060,201803200PHO,"['Derrick Collins', 'Scott Foster', 'Derek Richardson']",17400
1061,201803200POR,"['Eric Lewis', 'Tre Maddox', 'Derrick Stafford']",20012
1062,201803200UTA,"['Mark Lindsay', 'Dedric Taylor', 'James Williams']",18306
1063,201803210BRK,"['Lauren Holtkamp-Sterling', 'Bill Spooner', 'Gary Zielinski']",10231
1064,201803210CHI,"['Bennie Adams', 'Marc Davis', 'Jonathan Sterling']",20671
1065,201803210CLE,"['Mike Callahan', 'J.T. Orr', 'Josh Tiven']",20562
1066,201803210MIA,"['James Capers Jr.', 'Sean Corbin', 'Aaron Smith']",19600
1067,201803210MIL,"['Ron Garretson', 'Marat Kogut', 'Scott Wall']",17916
1068,201803210NOP,"['Kane Fitzgerald', 'Karl Lane', 'Scott Twardoski']",14148
1069,201803210PHI,"['Tony Brothers', 'Mitchell Ervin', 'Ben Taylor']",10411
1070,201803210SAS,"['Nick Buchert', 'Jason Phillips', 'Leroy Richardson']",18418
1071,201803220CHO,"['Jacyn Goble', 'Courtney Kirkland', 'Ken Mauer']",15033
1072,201803220DAL,"['Tyler Ford', 'Leon Wood', 'Zach Zarba']",19725
1073,201803220HOU,"['John Goble', 'Michael Smith', 'Dedric Taylor']",18055
1074,201803220NOP,"['Brent Barnaky', 'Pat Fraher', 'Aaron Smith']",18037
1075,201803220ORL,"['Tony Brown', 'Justin Van Duyne', 'Tom Washington']",17881
1076,201803220SAC,"['Derrick Collins', 'Derek Richardson', 'Derrick Stafford']",17583
1077,201803230CHI,"['Curtis Blair', 'Mike Callahan', 'Karl Lane']",21698
1078,201803230CLE,"['James Capers Jr.', 'Leroy Richardson', 'Gary Zielinski']",20562
1079,201803230GSW,"['Kevin Cutler', 'Rodney Mott', 'Sean Wright']",19596
1080,201803230IND,"['Bill Kennedy', 'J.T. Orr', 'Kevin Scott']",17923
1081,201803230NYK,"['Tony Brothers', 'Lauren Holtkamp-Sterling', 'Courtney Kirkland']",18914
1082,201803230OKC,"['Bennie Adams', 'John Goble', 'Scott Twardoski']",18203
1083,201803230POR,"['Derrick Collins', 'David Guthrie', 'Scott Wall']",19575
1084,201803230SAS,"['Marc Davis', 'Ron Garretson', 'Gediminas Petraitis']",18418
1085,201803230TOR,"['Mitchell Ervin', 'Scott Foster', 'Ben Taylor']",19800
1086,201803230WAS,"['Sean Corbin', 'Kane Fitzgerald', 'Tre Maddox']",19016
1087,201803240DAL,"['Brent Barnaky', 'Derrick Stafford', 'Justin Van Duyne']",20085
1088,201803240DET,"['J.B. DeRosa', 'Bill Kennedy', 'Mark Lindsay']",19139
1089,201803240HOU,"['Ken Mauer', 'James Williams', 'Leon Wood']",18055
1090,201803240MEM,"['Ray Acosta', 'Brian Forte', 'Zach Zarba']",18119
1091,201803240ORL,"['Pat Fraher', 'Marat Kogut', 'Brett Nansel']",17393
1092,201803240PHI,"['Kane Fitzgerald', 'Jacyn Goble', 'Josh Tiven']",20668
1093,201803250BRK,"['Tony Brothers', 'Michael Smith', 'C.J. Washington']",17732
1094,201803250GSW,"['Bennie Adams', 'David Guthrie', 'Scott Wall']",19596
1095,201803250HOU,"['Ron Garretson', 'Gediminas Petraitis', 'Scott Twardoski']",18055
1096,201803250IND,"['Scott Foster', 'Eric Lewis', 'Derek Richardson']",17923
1097,201803250MIL,"['Kevin Scott', 'Aaron Smith', 'Tom Washington']",18717
1098,201803250OKC,"['Marc Davis', 'Tyler Ford', 'Haywoode Workman']",18203
1099,201803250SAC,"['Mark Ayotte', 'Curtis Blair', 'Sean Wright']",17583
1100,201803250TOR,"['Matt Boland', 'Sean Corbin', 'Bill Spooner']",19800
1101,201803250WAS,"['Mike Callahan', 'Mark Lindsay', 'Dedric Taylor']",18884
1102,201803260CHO,"['John Goble', 'Marat Kogut', 'Tre Maddox']",14487
1103,201803260DET,"['Nick Buchert', 'James Capers Jr.', 'Brett Nansel']",18718
1104,201803260MIN,"['Kevin Cutler', 'Bill Kennedy', 'Aaron Smith']",16290
1105,201803260PHI,"['Scott Foster', 'Rodney Mott', 'J.T. Orr']",20585
1106,201803260PHO,"['Jason Phillips', 'Ben Taylor', 'Leon Wood']",18055
1107,201803270GSW,"['Curtis Blair', 'Ron Garretson', 'Ed Malloy']",19596
1108,201803270HOU,"['Tom Washington', 'Haywoode Workman', 'Gary Zielinski']",18055
1109,201803270LAC,"['Pat Fraher', 'Ben Taylor', 'Sean Wright']",19068
1110,201803270MIA,"['Mike Callahan', 'Karl Lane', 'James Williams']",20093
1111,201803270NOP,"['Sean Corbin', 'John Goble', 'Dedric Taylor']",15426
1112,201803270SAC,"['Brian Forte', 'David Guthrie', 'Scott Wall']",17583
1113,201803270TOR,"['Derrick Collins', 'Ken Mauer', 'Derek Richardson']",19800
1114,201803270WAS,"['Brent Barnaky', 'Matt Boland', 'Tony Brothers']",19588
1115,201803280CHO,"['Rodney Mott', 'Kevin Scott', 'Aaron Smith']",19474
1116,201803280LAL,"['Curtis Blair', 'Jason Phillips', 'Leon Wood']",18997
1117,201803280MEM,"['Mark Ayotte', 'James Capers Jr.', 'Brett Nansel']",16050
1118,201803280MIN,"['Eric Lewis', 'J.T. Orr', 'Michael Smith']",16183
1119,201803280ORL,"['Jason Goldenberg', 'Gediminas Petraitis', 'Derrick Stafford']",16517
1120,201803280PHI,"['Tony Brown', 'Marc Davis', 'J.B. DeRosa']",20655
1121,201803280PHO,"['Bennie Adams', 'Lauren Holtkamp-Sterling', 'Ed Malloy']",17005
1122,201803280UTA,"['Courtney Kirkland', 'Leroy Richardson', 'Zach Zarba']",18306
1123,201803290DET,"['Kevin Cutler', 'Scott Foster', 'Karl Lane']",18268
1124,201803290GSW,"['Brian Forte', 'Bill Kennedy', 'Tre Maddox']",19596
1125,201803290MIA,"['Ray Acosta', 'Rodney Mott', 'Josh Tiven']",19746
1126,201803290SAC,"['Pat Fraher', 'Ben Taylor', 'Scott Twardoski']",11360
1127,201803290SAS,"['John Goble', 'Dedric Taylor', 'Gary Zielinski']",18418
1128,201803300ATL,"['Sean Corbin', 'Derrick Stafford', 'Scott Wall']",16579
1129,201803300CLE,"['Nick Buchert', 'Kevin Cutler', 'Tom Washington']",20562
1130,201803300DAL,"['Mark Ayotte', 'Ken Mauer', 'Haywoode Workman']",20244
1131,201803300HOU,"['Tony Brothers', 'Mitchell Ervin', 'Kevin Scott']",18055
1132,201803300LAL,"['Courtney Kirkland', 'Ed Malloy', 'Leroy Richardson']",18997
1133,201803300OKC,"['Mike Callahan', 'Jacyn Goble', 'Mark Lindsay']",18203
1134,201803300ORL,"['Matt Boland', 'David Guthrie', 'Jonathan Sterling']",18918
1135,201803300POR,"['Brian Forte', 'Scott Twardoski', 'Zach Zarba']",20013
1136,201803300UTA,"['Pat Fraher', 'Lauren Holtkamp-Sterling', 'Jason Phillips']",18306
1137,201803310BOS,"['James Capers Jr.', 'Aaron Smith', 'James Williams']",18624
1138,201803310MIA,"['J.B. DeRosa', 'John Goble', 'Marat Kogut']",19600
1139,201803310NYK,"['Ray Acosta', 'Eric Lewis', 'Josh Tiven']",19812
1140,201803310SAC,"['Kane Fitzgerald', 'Justin Van Duyne', 'Gary Zielinski']",17583
1141,201803310WAS,"['Tony Brown', 'C.J. Washington', 'Sean Wright']",19071
1142,201804010ATL,"['Marc Davis', 'J.B. DeRosa', 'Karl Lane']",13587
1143,201804010BRK,"['Derrick Collins', 'David Guthrie', 'Jonathan Sterling']",16097
1144,201804010CHI,"['Jason Goldenberg', 'Kevin Scott', 'Derrick Stafford']",20466
1145,201804010CHO,"['Kevin Cutler', 'Scott Foster', 'Haywoode Workman']",17005
1146,201804010CLE,"['Gediminas Petraitis', 'Dedric Taylor', 'Sean Wright']",20562
1147,201804010DEN,"['Bennie Adams', 'Tony Brothers', 'Nick Buchert']",19520
1148,201804010GSW,"['Brent Barnaky', 'Leon Wood', 'Zach Zarba']",19596
1149,201804010LAC,"['Mark Ayotte', 'Tre Maddox', 'Ken Mauer']",15866
1150,201804010LAL,"['Mike Callahan', 'Brian Forte', 'Derek Richardson']",18997
1151,201804010MIN,"['Ron Garretson', 'Scott Wall', 'Tom Washington']",18978
1152,201804010NOP,"['Curtis Blair', 'Michael Smith', 'Bill Spooner']",18500
1153,201804010POR,"['Kane Fitzgerald', 'Courtney Kirkland', 'Leroy Richardson']",19545
1154,201804010SAS,"['Tyler Ford', 'Bill Kennedy', 'Mark Lindsay']",18418
1155,201804030CHI,"['Kane Fitzgerald', 'Jacyn Goble', 'Gary Zielinski']",20139
1156,201804030CLE,"['David Guthrie', 'Eric Lewis', 'Scott Twardoski']",20562
1157,201804030DAL,"['Kevin Cutler', 'Marat Kogut', 'Bill Spooner']",19624
1158,201804030DEN,"['James Capers Jr.', 'Tyler Ford', 'Karl Lane']",14743
1159,201804030HOU,"['Marc Davis', 'J.T. Orr', 'Ben Taylor']",18055
1160,201804030LAC,"['Mike Callahan', 'Gediminas Petraitis', 'James Williams']",17449
1161,201804030MIA,"['Curtis Blair', 'Bill Kennedy', 'Michael Smith']",19600
1162,201804030MIL,"['John Goble', 'Mark Lindsay', 'Leon Wood']",16188
1163,201804030NYK,"['Scott Wall', 'Tom Washington', 'Haywoode Workman']",19812
1164,201804030OKC,"['Tony Brown', 'Sean Corbin', 'Jason Phillips']",18203
1165,201804030PHI,"['Bennie Adams', 'Ed Malloy', 'C.J. Washington']",20710
1166,201804030PHO,"['Courtney Kirkland', 'Ken Mauer', 'Brett Nansel']",16826
1167,201804030UTA,"['Brent Barnaky', 'Tony Brothers', 'Justin Van Duyne']",18306
1168,201804040ATL,"['Scott Foster', 'Kevin Scott', 'Scott Twardoski']",16696
1169,201804040DET,"['Matt Boland', 'Ron Garretson', 'John Goble']",18395
1170,201804040LAL,"['Tre Maddox', 'Derrick Stafford', 'Josh Tiven']",18997
1171,201804040NOP,"['Derrick Collins', 'J.T. Orr', 'Sean Wright']",16521
1172,201804040ORL,"['Mitchell Ervin', 'Bill Kennedy', 'Leroy Richardson']",18112
1173,201804040TOR,"['Brian Forte', 'Ed Malloy', 'Dedric Taylor']",19963
1174,201804050CLE,"['Bennie Adams', 'Scott Foster', 'Derek Richardson']",20562
1175,201804050DEN,"['Ken Mauer', 'Gediminas Petraitis', 'James Williams']",16415
1176,201804050HOU,"['Brent Barnaky', 'Rodney Mott', 'Jason Phillips']",18055
1177,201804050IND,"['David Guthrie', 'Marat Kogut', 'Mark Lindsay']",17923
1178,201804050MIL,"['Ray Acosta', 'Zach Zarba', 'Gary Zielinski']",18378
1179,201804050UTA,"['James Capers Jr.', 'Tyler Ford', 'Josh Tiven']",18306
1180,201804060BOS,"['Nick Buchert', 'Eric Lewis', 'Michael Smith']",18624
1181,201804060DET,"['Kane Fitzgerald', 'Brian Forte', 'Kevin Scott']",18768
1182,201804060LAL,"['Mark Ayotte', 'J.T. Orr', 'Bill Spooner']",18997
1183,201804060MEM,"['Matt Boland', 'J.B. DeRosa', 'Bill Kennedy']",16527
1184,201804060NYK,"['Derek Richardson', 'Ben Taylor', 'Sean Wright']",19569
1185,201804060ORL,"['John Goble', 'Courtney Kirkland', 'Scott Twardoski']",17018
1186,201804060PHI,"['Pat Fraher', 'Lauren Holtkamp-Sterling', 'Tom Washington']",20769
1187,201804060PHO,"['Sean Corbin', 'Gediminas Petraitis', 'Derrick Stafford']",18055
1188,201804060TOR,"['Tony Brothers', 'Tony Brown', 'Scott Wall']",19924
1189,201804060WAS,"['Ron Garretson', 'Ed Malloy', 'Leroy Richardson']",19557
1190,201804070CHI,"['Brian Forte', 'Marat Kogut', 'Justin Van Duyne']",21669
1191,201804070GSW,"['James Capers Jr.', 'Tyler Ford', 'Josh Tiven']",19596
1192,201804070HOU,"['Derrick Collins', 'Karl Lane', 'Zach Zarba']",18055
1193,201804070LAC,"['Marc Davis', 'Leon Wood', 'Gary Zielinski']",16166
1194,201804070NYK,"['Mike Callahan', 'Ron Garretson', 'Tre Maddox']",19812
1195,201804070SAS,"['Bennie Adams', 'Curtis Blair', 'David Guthrie']",18610
1196,201804080BOS,"['Tony Brothers', 'Ben Taylor', 'Haywoode Workman']",18624
1197,201804080CHO,"['Brent Barnaky', 'Pat Fraher', 'Tom Washington']",16629
1198,201804080LAL,"['Matt Boland', 'Sean Corbin', 'Scott Foster']",18997
1199,201804080MEM,"['Nick Buchert', 'Derrick Stafford', 'Scott Twardoski']",16044
1200,201804080PHI,"['Courtney Kirkland', 'Aaron Smith', 'Sean Wright']",20846
1201,201804080PHO,"['Kevin Cutler', 'Marc Davis', 'Rodney Mott']",18055
1202,201804080TOR,"['Jason Goldenberg', 'Jason Phillips', 'Kevin Scott']",19948
1203,201804090BRK,"['Courtney Kirkland', 'Tre Maddox', 'Sean Wright']",16187
1204,201804090DEN,"['John Goble', 'J.T. Orr', 'Josh Tiven']",17467
1205,201804090DET,"['Mike Callahan', 'Pat Fraher', 'Michael Smith']",17529
1206,201804090LAC,"['Matt Boland', 'Scott Foster', 'Eric Lewis']",15742
1207,201804090MIA,"['Nick Buchert', 'Ken Mauer', 'Scott Wall']",19600
1208,201804090MIL,"['Derrick Collins', 'Bill Spooner', 'Jonathan Sterling']",18717
1209,201804090MIN,"['Curtis Blair', 'James Capers Jr.', 'Marat Kogut']",17641
1210,201804090NYK,"['Kane Fitzgerald', 'Gediminas Petraitis', 'James Williams']",19449
1211,201804090SAS,"['Tony Brown', 'Ed Malloy', 'Leon Wood']",18418
1212,201804100ATL,"['Jacyn Goble', 'Mark Lindsay', 'Jason Phillips']",15673
1213,201804100DAL,"['Mitchell Ervin', 'Tom Washington', 'Gary Zielinski']",20041
1214,201804100IND,"['Derrick Collins', 'Aaron Smith', 'Derrick Stafford']",17331
1215,201804100LAL,"['Bennie Adams', 'Marc Davis', 'Scott Twardoski']",18997
1216,201804100UTA,"['Mark Ayotte', 'John Goble', 'Derek Richardson']",18306
1217,201804100WAS,"['Tyler Ford', 'Brian Forte', 'Zach Zarba']",18887
1218,201804110BOS,"['Curtis Blair', 'Kane Fitzgerald', 'Pat Fraher']",18624
1219,201804110CHI,"['Tony Brown', 'James Capers Jr.', 'Leroy Richardson']",21342
1220,201804110CLE,"['Courtney Kirkland', 'Michael Smith', 'Zach Zarba']",20562
1221,201804110LAC,"['Ron Garretson', 'Rodney Mott', 'Derek Richardson']",19068
1222,201804110MIA,"['Tre Maddox', 'Ed Malloy', 'Gediminas Petraitis']",19600
1223,201804110MIN,"['Matt Boland', 'Tony Brothers', 'Kevin Scott']",18978
1224,201804110NOP,"['Brent Barnaky', 'Mike Callahan', 'Scott Wall']",18573
1225,201804110OKC,"['Bill Spooner', 'Ben Taylor', 'Leon Wood']",18203
1226,201804110ORL,"['Sean Corbin', 'Dedric Taylor', 'Sean Wright']",17598
1227,201804110PHI,"['Karl Lane', 'Ken Mauer', 'James Williams']",20659
1228,201804110POR,"['Kevin Cutler', 'Bill Kennedy', 'Eric Lewis']",20186
1229,201804110SAC,"['Scott Foster', 'J.T. Orr', 'Josh Tiven']",17583
1230,201804140GSW,"['James Capers Jr.', 'Kane Fitzgerald', 'Ron Garretson']",19596
1231,201804140PHI,"['Marc Davis', 'Bill Kennedy', 'Bill Spooner']",20617
1232,201804140POR,"['Eric Lewis', 'Mark Lindsay', 'Ed Malloy']",19882
1233,201804140TOR,"['Tony Brothers', 'Scott Foster', 'Pat Fraher']",19937
1234,201804150BOS,"['Mike Callahan', 'Brian Forte', 'Jason Phillips']",18624
1235,201804150CLE,"['Bennie Adams', 'John Goble', 'Zach Zarba']",20562
1236,201804150HOU,"['Tony Brown', 'Ken Mauer', 'James Williams']",18055
1237,201804150OKC,"['David Guthrie', 'Derrick Stafford', 'Josh Tiven']",18203
1238,201804160GSW,"['Brent Barnaky', 'Eric Lewis', 'Ed Malloy']",19596
1239,201804160PHI,"['Tony Brothers', 'Scott Foster', 'Karl Lane']",20753
1240,201804170BOS,"['Mark Ayotte', 'Marc Davis', 'Sean Wright']",18624
1241,201804170POR,"['Sean Corbin', 'John Goble', 'Zach Zarba']",20066
1242,201804170TOR,"['Mike Callahan', 'Courtney Kirkland', 'Tom Washington']",20242
1243,201804180CLE,"['David Guthrie', 'Eric Lewis', 'Ed Malloy']",20562
1244,201804180HOU,"['Pat Fraher', 'Mark Lindsay', 'Derrick Stafford']",18055
1245,201804180OKC,"['Brent Barnaky', 'Ken Mauer', 'Gary Zielinski']",18203
1246,201804190MIA,"['Mark Ayotte', 'Tony Brown', 'James Capers Jr.']",19812
1247,201804190NOP,"['Mike Callahan', 'Jason Phillips', 'Tom Washington']",18551
1248,201804190SAS,"['Rodney Mott', 'Sean Wright', 'Zach Zarba']",18418
1249,201804200IND,"['Derrick Collins', 'Marat Kogut', 'Derrick Stafford']",17923
1250,201804200MIL,"['Sean Corbin', 'Scott Foster', 'Courtney Kirkland']",18717
1251,201804200WAS,"['Ken Mauer', 'James Williams', 'Gary Zielinski']",20356
1252,201804210MIA,"['Mike Callahan', 'Jason Phillips', 'Kevin Scott']",19804
1253,201804210MIN,"['Kevin Cutler', 'Marc Davis', 'Bill Kennedy']",18978
1254,201804210NOP,"['Mark Ayotte', 'James Capers Jr.', 'Ron Garretson']",18544
1255,201804210UTA,"['Bennie Adams', 'John Goble', 'Zach Zarba']",18306
1256,201804220IND,"['Ken Mauer', 'Rodney Mott', 'Gary Zielinski']",17923
1257,201804220MIL,"['Marat Kogut', 'Ed Malloy', 'Tom Washington']",18717
1258,201804220SAS,"['Tony Brothers', 'Brian Forte', 'Scott Foster']",18418
1259,201804220WAS,"['Derrick Collins', 'Derrick Stafford', 'Josh Tiven']",20356
1260,201804230MIN,"['Mark Ayotte', 'James Capers Jr.', 'David Guthrie']",18978
1261,201804230UTA,"['Marc Davis', 'Bill Kennedy', 'Bill Spooner']",18306
1262,201804240BOS,"['Derrick Collins', 'Pat Fraher', 'Ken Mauer']",18624
1263,201804240GSW,"['Bennie Adams', 'Mike Callahan', 'Jason Phillips']",19596
1264,201804240PHI,"['Courtney Kirkland', 'Eric Lewis', 'Derrick Stafford']",21171
1265,201804250CLE,"['James Capers Jr.', 'Bill Kennedy', 'Bill Spooner']",20562
1266,201804250HOU,"['Brian Forte', 'Sean Wright', 'Zach Zarba']",18055
1267,201804250OKC,"['Kane Fitzgerald', 'Ed Malloy', 'Tom Washington']",18203
1268,201804250TOR,"['Mark Ayotte', 'Marc Davis', 'John Goble']",19987
