,gameid,ref,att
298,201711280CLE,"['Mark Ayotte', 'Kane Fitzgerald', 'Aaron Smith']",20562
299,201711280MIN,"['Brian Forte', 'Jonathan Sterling', 'Zach Zarba']",13442
300,201711280SAC,"['Scott Foster', 'Jason Goldenberg', 'James Williams']",17583
301,201711280UTA,"['Bennie Adams', 'Mike Callahan', 'Leon Wood']",16790
302,201711290DAL,"['John Goble', 'Lauren Holtkamp-Sterling', 'Eric Lewis']",19327
303,201711290DET,"['Ron Garretson', 'Ben Taylor', 'Scott Twardoski']",18096
304,201711290HOU,"['Pat Fraher', 'Courtney Kirkland', 'Michael Smith']",16760
305,201711290LAL,"['Kevin Cutler', 'Ed Malloy', 'Josh Tiven']",18997
306,201711290NOP,"['Brent Barnaky', 'Ken Mauer', 'Scott Wall']",15555
307,201711290NYK,"['Jacyn Goble', 'David Guthrie', 'Rodney Mott']",17693
308,201711290ORL,"['Tyler Ford', 'Gediminas Petraitis', 'Sean Wright']",17797
309,201711290PHI,"['Matt Boland', 'Mitchell Ervin', 'Bill Spooner']",20492
310,201711290SAS,"['James Capers Jr.', 'Derrick Collins', 'C.J. Washington']",18013
311,201711290TOR,"['Eric Dalen', 'Marc Davis', 'Aaron Smith']",19800
312,201711300ATL,"['Ray Acosta', 'Tony Brown', 'Nick Buchert']",16379
313,201711300BOS,"['Mark Ayotte', 'Ron Garretson', 'Derrick Stafford']",18624
314,201711300DEN,"['Justin Van Duyne', 'Tom Washington', 'James Williams']",15156
315,201711300LAC,"['Ed Malloy', 'J.T. Orr', 'Josh Tiven']",15139
316,201711300POR,"['Bennie Adams', 'Mike Callahan', 'Leon Wood']",19459
