,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,gameState
teamData,winner,teamHome,teamAway,timeOfDay,location,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,rivalry
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201710210MEM,MEM,MEM,GSW,8:00p,"FedEx Forum, Memphis, Tennessee",31,25,32,23,[],111,1,3.0,"['gasolma01', 'conlemi01', 'martija01', 'ennisja01', 'harrian01', 'brookdi01', 'evansty01', 'chalmma01', 'parsoch01', 'wrighbr03', 'davisde01', 'rabbiv01', 'simmoko01']","[1, 0]",0,26,25,20,30,[],101,1,1.0,"['duranke01', 'thompkl01', 'greendr01', 'curryst01', 'pachuza01', 'iguodan01', 'livinsh01', 'mccawpa01', 'westda01', 'youngni01', 'mcgeeja01', 'belljo01', 'cookqu01']","[1, 1]",0,conference
201710210MIA,MIA,MIA,IND,8:00p,"AmericanAirlines Arena, Miami, Florida",26,37,28,21,[],112,-1,3.0,"['richajo01', 'waitedi01', 'dragigo01', 'johnsja01', 'mickejo01', 'olynyke01', 'johnsty01', 'winslju01', 'ellinwa01', 'adebaba01', 'hasleud01', 'whiteok01', 'willima05']","[0, 1]",0,31,19,26,32,[],108,-1,1.0,"['oladivi01', 'collida01', 'youngth01', 'sabondo01', 'bogdabo02', 'josepco01', 'stephla01', 'leaftj01', 'jeffeal01', 'wilkida02', 'anigbik01', 'poythal01', 'youngjo01']","[1, 1]",0,conference
201710210MIL,MIL,MIL,POR,8:30p,"BMO Harris Bradley Center, Milwaukee, Wisconsin",24,36,24,29,[],113,-1,1.0,"['antetgi01', 'snellto01', 'brogdma01', 'middlkh01', 'makerth01', 'hensojo01', 'liggide01', 'teletmi01', 'dellama01', 'monrogr01', 'terryja01', 'brownst02', 'wilsodj01']","[1, 1]",0,26,29,25,30,[],110,2,1.0,"['harklma01', 'mccolcj01', 'lillada01', 'nurkiju01', 'aminual01', 'turneev01', 'connapa01', 'davised01', 'napiesh01', 'colliza01', 'laymaja01', 'leoname01', 'swanica01']","[2, 0]",0,none
201710210NYK,DET,NYK,DET,8:00p,"Madison Square Garden (IV), New York, New York",28,36,16,27,[],107,-1,2.0,"['porzikr01', 'hardati02', 'sessira01', 'leeco01', 'kanteen01', 'mcderdo01', 'oquinky01', 'beaslmi01', 'bakerro01', 'dotsoda01', 'hernawi01', 'jackja01', 'thomala01']","[0, 1]",0,19,32,28,32,[],111,-1,1.0,"['harrito02', 'drumman01', 'johnsst04', 'jacksre01', 'bradlav01', 'smithis01', 'tollian01', 'leuerjo01', 'kennalu01', 'marjabo01', 'ellenhe01', 'bullore01', 'gallola01']","[1, 1]",0,conference
201710210TOR,TOR,TOR,PHI,7:30p,"Air Canada Centre, Toronto, Canada",36,26,40,26,[],128,1,2.0,"['lowryky01', 'derozde01', 'ibakase01', 'powelno01', 'valanjo01', 'wrighde01', 'vanvlfr01', 'milescj01', 'poeltja01', 'noguelu01', 'anunoog01', 'siakapa01', 'cabocbr01']","[1, 0]",0,19,30,22,23,[],94,-2,1.0,"['simmobe01', 'bayleje01', 'redicjj01', 'covinro01', 'johnsam01', 'fultzma01', 'saricda01', 'okafoja01', 'mccontj01', 'anderju01', 'luwawti01', 'stausni01', 'mcadoja01']","[0, 2]",0,division
201710210UTA,UTA,UTA,OKC,9:00p,"Vivint Smart Home Arena, Salt Lake City, Utah",21,23,29,23,[],96,-1,1.0,"['rubiori01', 'goberru01', 'inglejo01', 'favorde01', 'mitchdo01', 'sefolth01', 'johnsjo02', 'burksal01', 'udohek01', 'netora01', 'onealro01', 'jerebjo01', 'woltena01']","[1, 1]",0,14,20,23,30,[],87,1,2.0,"['georgpa01', 'anthoca01', 'westbru01', 'adamsst01', 'roberan03', 'abrinal01', 'feltora01', 'grantje01', 'pattepa01', 'fergute01', 'huestjo01', 'collini01', 'johnsda04']","[1, 0]",0,division
201710220BRK,BRK,BRK,ATL,3:30p,"Barclays Center, Brooklyn, New York",19,37,35,25,[],116,1,2.0,"['leverca01', 'russeda01', 'carrode01', 'holliro01', 'mozgoti01', 'booketr01', 'crabbal01', 'dinwisp01', 'harrijo01', 'allenja01', 'acyqu01', 'kilpase01', 'zellety01']","[1, 1]",0,25,28,24,27,[],104,-1,2.0,"['bazemke01', 'schrode01', 'princta02', 'ilyaser01', 'dedmode01', 'belinma01', 'muscami01', 'delanma01', 'collijo01', 'babbilu01', 'magetjo01', 'taylois01', 'dorsety01']","[1, 1]",0,conference
201710220LAL,NOP,LAL,NOP,9:30p,"STAPLES Center, Los Angeles, California",22,33,28,29,[],112,1,2.0,"['balllo01', 'caldwke01', 'ingrabr01', 'lopezbr01', 'nancela02', 'kuzmaky01', 'clarkjo01', 'randlju01', 'hartjo01', 'bogutan01', 'breweco01', 'ennisty01', 'zubaciv01']","[1, 1]",0,34,34,26,25,[],119,-2,2.0,"['davisan02', 'holidjr01', 'couside01', 'mooreet01', 'cunnida01', 'nelsoja01', 'clarkia01', 'milleda01', 'allento01', 'cookech01', 'diallch01', 'jonesja04']","[0, 2]",0,conference
201710220OKC,MIN,OKC,MIN,7:00p,"Chesapeake Energy Arena, Oklahoma City, Oklahoma",23,31,21,38,[],113,-1,1.0,"['georgpa01', 'anthoca01', 'westbru01', 'adamsst01', 'roberan03', 'grantje01', 'feltora01', 'abrinal01', 'huestjo01', 'pattepa01', 'collini01', 'fergute01', 'johnsda04']","[1, 1]",0,28,33,27,27,[],115,1,2.0,"['wiggian01', 'teaguje01', 'butleji01', 'townska01', 'gibsota01', 'crawfja01', 'dienggo01', 'bjeline01', 'jonesty01', 'muhamsh01', 'aldrico01', 'brookaa01', 'georgma01']","[1, 1]",0,division
201710230DAL,GSW,DAL,GSW,8:30p,"American Airlines Center, Dallas, Texas",24,38,22,19,[],103,-3,2.0,"['ferreyo01', 'matthwe02', 'barneha02', 'smithde03', 'nowitdi01', 'bareajo01', 'poweldw01', 'noelne01', 'finnedo01', 'klebima01', 'clavegi01', 'witheje01', 'mejrisa01']","[0, 3]",0,40,25,34,34,[],133,-1,2.0,"['duranke01', 'curryst01', 'greendr01', 'thompkl01', 'pachuza01', 'iguodan01', 'youngni01', 'livinsh01', 'westda01', 'mcgeeja01', 'belljo01', 'mccawpa01', 'casspom01']","[1, 2]",0,conference
