,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,gameState,home,away,home,away
teamData,winner,teamHome,teamAway,timeOfDay,location,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,rivalry,salary,salary,avgSalary,avgSalary
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201510300SAC,SAC,SAC,LAL,10:00p,"Sleep Train Arena, Sacramento, California",40,34,28,30,[],132,-1,2.0,"['gayru01', 'caulewi01', 'couside01', 'mclembe01', 'rondora01', 'collida01', 'belinma01', 'casspom01', 'koufoko01', 'anderja01', 'curryse01', 'moreler01', 'butleca01']","[0, 1]",0,24,26,33,31,[],114,-1,2.0,"['clarkjo01', 'russeda01', 'bryanko01', 'hibbero01', 'randlju01', 'kellyry01', 'willilo02', 'youngni01', 'bassbr01', 'huertma01', 'blackta01', 'brownan02', 'sacrero01']","[0, 1]",0,division,723144279,849104357,55626483.0,65315719.76923077
201510300SAS,SAS,SAS,BRK,8:30p,"AT&T Center, San Antonio, Texas",25,17,34,26,[],102,-1,2.0,"['aldrila01', 'duncati01', 'greenda02', 'leonaka01', 'parketo01', 'ginobma01', 'diawbo01', 'millspa02', 'westda01', 'butlera01', 'anderky01', 'mccalra01', 'marjabo01']","[0, 1]",0,21,26,17,11,[],75,-1,2.0,"['lopezbr01', 'youngth01', 'jackja01', 'johnsjo02', 'ellinwa01', 'holliro01', 'bogdabo02', 'larkish01', 'bargnan01', 'robinth01', 'brownma02', 'sloando01', 'karasse01']","[0, 1]",0,none,1386901966,808336065,106684766.61538461,62179697.307692304
201510310IND,UTA,IND,UTA,7:00p,"Bankers Life Fieldhouse, Indianapolis, Indiana",29,20,12,15,[],76,-2,2.0,"['hillge01', 'georgpa01', 'ellismo01', 'milescj01', 'mahinia01', 'turnemy01', 'stuckro01', 'allenla01', 'budinch01', 'hillso01', 'whittsh01', 'youngjo01', 'hilljo01']","[0, 2]",0,23,19,28,27,[],97,1,1.0,"['goberru01', 'favorde01', 'hoodro01', 'haywago01', 'netora01', 'booketr01', 'burketr01', 'burksal01', 'inglejo01', 'lylestr01', 'millsel01', 'johnsch04', 'witheje01']","[1, 1]",0,none,815988436,729417017,62768341.23076923,56109001.307692304
201510310LAC,LAC,LAC,SAC,10:30p,"STAPLES Center, Los Angeles, California",24,35,24,31,[],114,2,2.0,"['paulch01', 'griffbl01', 'jordade01', 'redicjj01', 'stephla01', 'crawfja01', 'piercpa01', 'smithjo03', 'riverau01', 'johnswe01', 'mbahalu01', 'prigipa01', 'aldrico01']","[2, 0]",1,31,24,24,30,[],109,1,1.0,"['rondora01', 'gayru01', 'caulewi01', 'couside01', 'mclembe01', 'collida01', 'koufoko01', 'belinma01', 'casspom01', 'butleca01', 'curryse01', 'acyqu01', 'anderja01']","[1, 1]",0,division,1501714250,727946733,115516480.76923077,55995902.538461536
201510310MEM,MEM,MEM,BRK,8:00p,"FedEx Forum, Memphis, Tennessee",31,25,23,22,[],101,1,2.0,"['leeco01', 'conlemi01', 'gasolma01', 'randoza01', 'allento01', 'greenje02', 'wrighbr03', 'barnema02', 'udrihbe01', 'greenja01', 'smithru01', 'adamsjo01', 'cartevi01']","[1, 1]",0,26,19,24,22,[],91,-2,1.0,"['jackja01', 'johnsjo02', 'youngth01', 'lopezbr01', 'brownma02', 'bogdabo02', 'robinth01', 'bargnan01', 'holliro01', 'larkish01', 'ellinwa01', 'sloando01', 'karasse01']","[0, 2]",0,none,1146014580,808336065,88154967.6923077,62179697.307692304
201510310NOP,GSW,NOP,GSW,7:30p,"Smoothie King Center, New Orleans, Louisiana",28,37,26,29,[],120,-2,3.0,"['davisan02', 'holidjr01', 'gordoer01', 'cunnida01', 'perkike01', 'babbilu01', 'anderry01', 'douglto01', 'geeal01', 'smithis01', 'asikom01', 'ajincal01']","[0, 2]",0,31,33,41,29,[],134,2,1.0,"['greendr01', 'curryst01', 'barneha02', 'thompkl01', 'ezelife01', 'iguodan01', 'livinsh01', 'speigma01', 'barbole01', 'rushbr01', 'mcadoja01', 'clarkia01', 'thompja02']","[2, 0]",1,conference,894085679,1121756802,74507139.91666667,86288984.76923077
201510310POR,PHO,POR,PHO,10:00p,"Moda Center, Portland, Oregon",23,25,23,19,[],90,-1,1.0,"['lillada01', 'mccolcj01', 'aminual01', 'leoname01', 'plumlma01', 'harklma01', 'davised01', 'crabbal01', 'vonleno01', 'fraziti01', 'montelu01', 'kamanch01', 'connapa01']","[1, 1]",0,27,29,18,27,[],101,1,1.0,"['bledser01', 'knighbr03', 'chandty01', 'tuckepj01', 'morrima02', 'leuerjo01', 'warretj01', 'pricero01', 'lenal01', 'weemsso01', 'teletmi01', 'bookede01', 'goodwar01']","[1, 1]",1,conference,846916212,809720214,65147400.92307692,62286170.307692304
201510310WAS,NYK,WAS,NYK,7:00p,"Verizon Center, Washington, District of Columbia",29,27,34,20,[],110,2,1.0,"['bealbr01', 'walljo01', 'porteot01', 'gortama01', 'humphkr01', 'goodedr01', 'hilarne01', 'dudleja01', 'nealga01', 'sessira01', 'blairde01', 'templga01', 'oubreke01']","[2, 0]",0,29,30,28,30,[],117,-1,2.0,"['anthoca01', 'lopezro01', 'vujacsa01', 'caldejo01', 'porzikr01', 'gallola01', 'thomala01', 'grantje02', 'willide02', 'oquinky01', 'serapke01', 'earlycl01', 'afflaar01']","[1, 1]",0,conference,1108619521,767311281,85278424.6923077,59023944.692307696
201511010BOS,SAS,BOS,SAS,3:30p,"TD Garden, Boston, Massachusetts",13,18,23,33,[],87,-1,2.0,"['smartma01', 'bradlav01', 'crowdja01', 'leeda02', 'zellety01', 'johnsam01', 'thomais02', 'sullija01', 'turneev01', 'jerebjo01', 'olynyke01', 'hunterj01', 'roziete01']","[1, 1]",0,23,21,20,31,[],95,1,2.0,"['aldrila01', 'leonaka01', 'greenda02', 'duncati01', 'parketo01', 'ginobma01', 'diawbo01', 'millspa02', 'westda01', 'butlera01', 'anderky01', 'mccalra01', 'bonnema01']","[1, 1]",0,none,696028303,1384330300,53540638.692307696,106486946.15384616
201511010CHI,CHI,CHI,ORL,7:00p,"United Center, Chicago, Illinois",29,25,21,17,[],92,-1,2.0,"['butleji01', 'rosede01', 'mirotni01', 'snellto01', 'gasolpa01', 'noahjo01', 'gibsota01', 'mooreet01', 'mcderdo01', 'brookaa01', 'portibo01', 'bairsca01', 'feliccr01']","[2, 1]",0,26,14,23,24,[],87,-2,2.0,"['oladivi01', 'fournev01', 'vucevni01', 'paytoel01', 'harrito02', 'gordoaa01', 'napiesh01', 'smithja02', 'watsocj01', 'fryech01', 'hezonma01', 'nichoan01', 'dedmode01']","[0, 2]",0,conference,1052751902,877015234,80980915.53846154,67462710.3076923
