index;TeamsRaw;Bookmaker;OddHome;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
4323;Orlando Magic - Dallas Mavericks;bwin;+280;-357;Saturday, 31 Jan 2015, 23:00;Final result 93:108 (17:34, 24:32, 29:22, 23:20);1;Orlando Magic;Dallas Mavericks;31 Jan 2015; 93;108;2014-2015
4324;Orlando Magic - Dallas Mavericks;Marathonbet;+270;-303;Saturday, 31 Jan 2015, 23:00;Final result 93:108 (17:34, 24:32, 29:22, 23:20);1;Orlando Magic;Dallas Mavericks;31 Jan 2015; 93;108;2014-2015
4325;Orlando Magic - Dallas Mavericks;Pinnacle;+264;-303;Saturday, 31 Jan 2015, 23:00;Final result 93:108 (17:34, 24:32, 29:22, 23:20);1;Orlando Magic;Dallas Mavericks;31 Jan 2015; 93;108;2014-2015
4326;Orlando Magic - Dallas Mavericks;Unibet;+260;-333;Saturday, 31 Jan 2015, 23:00;Final result 93:108 (17:34, 24:32, 29:22, 23:20);1;Orlando Magic;Dallas Mavericks;31 Jan 2015; 93;108;2014-2015
4327;Orlando Magic - Dallas Mavericks;William Hill;+260;-323;Saturday, 31 Jan 2015, 23:00;Final result 93:108 (17:34, 24:32, 29:22, 23:20);1;Orlando Magic;Dallas Mavericks;31 Jan 2015; 93;108;2014-2015
4350;Washington Wizards - Toronto Raptors;bet-at-home;-208;+159;Saturday, 31 Jan 2015, 23:00;Final result 116:120 OT (109:109) (30:33, 20:32, 28:29, 31:15, 7:11);1;Washington Wizards;Toronto Raptors;31 Jan 2015;116;120;2014-2015
4351;Washington Wizards - Toronto Raptors;bet365;-222;+179;Saturday, 31 Jan 2015, 23:00;Final result 116:120 OT (109:109) (30:33, 20:32, 28:29, 31:15, 7:11);1;Washington Wizards;Toronto Raptors;31 Jan 2015;116;120;2014-2015
4352;Washington Wizards - Toronto Raptors;bwin;-222;+179;Saturday, 31 Jan 2015, 23:00;Final result 116:120 OT (109:109) (30:33, 20:32, 28:29, 31:15, 7:11);1;Washington Wizards;Toronto Raptors;31 Jan 2015;116;120;2014-2015
4353;Washington Wizards - Toronto Raptors;Marathonbet;-208;+190;Saturday, 31 Jan 2015, 23:00;Final result 116:120 OT (109:109) (30:33, 20:32, 28:29, 31:15, 7:11);1;Washington Wizards;Toronto Raptors;31 Jan 2015;116;120;2014-2015
4354;Washington Wizards - Toronto Raptors;Pinnacle;-217;+195;Saturday, 31 Jan 2015, 23:00;Final result 116:120 OT (109:109) (30:33, 20:32, 28:29, 31:15, 7:11);1;Washington Wizards;Toronto Raptors;31 Jan 2015;116;120;2014-2015
4355;Washington Wizards - Toronto Raptors;Unibet;-192;+154;Saturday, 31 Jan 2015, 23:00;Final result 116:120 OT (109:109) (30:33, 20:32, 28:29, 31:15, 7:11);1;Washington Wizards;Toronto Raptors;31 Jan 2015;116;120;2014-2015
4356;Washington Wizards - Toronto Raptors;William Hill;-222;+179;Saturday, 31 Jan 2015, 23:00;Final result 116:120 OT (109:109) (30:33, 20:32, 28:29, 31:15, 7:11);1;Washington Wizards;Toronto Raptors;31 Jan 2015;116;120;2014-2015
4379;Phoenix Suns - Chicago Bulls;bet-at-home;-294;+221;Saturday, 31 Jan 2015, 02:30;Final result 99:93 (26:23, 29:19, 13:25, 31:26);1;Phoenix Suns;Chicago Bulls;31 Jan 2015; 99;93 ;2014-2015
4380;Phoenix Suns - Chicago Bulls;bet365;-286;+229;Saturday, 31 Jan 2015, 02:30;Final result 99:93 (26:23, 29:19, 13:25, 31:26);1;Phoenix Suns;Chicago Bulls;31 Jan 2015; 99;93 ;2014-2015
4381;Phoenix Suns - Chicago Bulls;bwin;-278;+220;Saturday, 31 Jan 2015, 02:30;Final result 99:93 (26:23, 29:19, 13:25, 31:26);1;Phoenix Suns;Chicago Bulls;31 Jan 2015; 99;93 ;2014-2015
4382;Phoenix Suns - Chicago Bulls;Marathonbet;-213;+194;Saturday, 31 Jan 2015, 02:30;Final result 99:93 (26:23, 29:19, 13:25, 31:26);1;Phoenix Suns;Chicago Bulls;31 Jan 2015; 99;93 ;2014-2015
4383;Phoenix Suns - Chicago Bulls;Pinnacle;-256;+227;Saturday, 31 Jan 2015, 02:30;Final result 99:93 (26:23, 29:19, 13:25, 31:26);1;Phoenix Suns;Chicago Bulls;31 Jan 2015; 99;93 ;2014-2015
4384;Phoenix Suns - Chicago Bulls;Unibet;-323;+250;Saturday, 31 Jan 2015, 02:30;Final result 99:93 (26:23, 29:19, 13:25, 31:26);1;Phoenix Suns;Chicago Bulls;31 Jan 2015; 99;93 ;2014-2015
4385;Phoenix Suns - Chicago Bulls;William Hill;-303;+250;Saturday, 31 Jan 2015, 02:30;Final result 99:93 (26:23, 29:19, 13:25, 31:26);1;Phoenix Suns;Chicago Bulls;31 Jan 2015; 99;93 ;2014-2015
4408;Utah Jazz - Golden State Warriors;bet-at-home;+405;-625;Saturday, 31 Jan 2015, 01:00;Final result 110:100 (23:19, 33:26, 25:23, 29:32);1;Utah Jazz;Golden State Warriors;31 Jan 2015;110;100;2014-2015
4409;Utah Jazz - Golden State Warriors;bet365;+450;-625;Saturday, 31 Jan 2015, 01:00;Final result 110:100 (23:19, 33:26, 25:23, 29:32);1;Utah Jazz;Golden State Warriors;31 Jan 2015;110;100;2014-2015
4410;Utah Jazz - Golden State Warriors;bwin;+400;-556;Saturday, 31 Jan 2015, 01:00;Final result 110:100 (23:19, 33:26, 25:23, 29:32);1;Utah Jazz;Golden State Warriors;31 Jan 2015;110;100;2014-2015
4411;Utah Jazz - Golden State Warriors;Marathonbet;+509;-588;Saturday, 31 Jan 2015, 01:00;Final result 110:100 (23:19, 33:26, 25:23, 29:32);1;Utah Jazz;Golden State Warriors;31 Jan 2015;110;100;2014-2015
4412;Utah Jazz - Golden State Warriors;Pinnacle;+446;-526;Saturday, 31 Jan 2015, 01:00;Final result 110:100 (23:19, 33:26, 25:23, 29:32);1;Utah Jazz;Golden State Warriors;31 Jan 2015;110;100;2014-2015
4413;Utah Jazz - Golden State Warriors;Unibet;+450;-625;Saturday, 31 Jan 2015, 01:00;Final result 110:100 (23:19, 33:26, 25:23, 29:32);1;Utah Jazz;Golden State Warriors;31 Jan 2015;110;100;2014-2015
4414;Utah Jazz - Golden State Warriors;William Hill;+400;-588;Saturday, 31 Jan 2015, 01:00;Final result 110:100 (23:19, 33:26, 25:23, 29:32);1;Utah Jazz;Golden State Warriors;31 Jan 2015;110;100;2014-2015
4437;Atlanta Hawks - Minnesota Timberwolves;bet-at-home;-10000;+1300;Sunday, 25 Jan 2015, 22:00;Final result 112:100 (25:24, 36:23, 25:30, 26:23);1;Atlanta Hawks;Minnesota Timberwolves;25 Jan 2015;112;100;2014-2015
4438;Atlanta Hawks - Minnesota Timberwolves;bet365;-5000;+1600;Sunday, 25 Jan 2015, 22:00;Final result 112:100 (25:24, 36:23, 25:30, 26:23);1;Atlanta Hawks;Minnesota Timberwolves;25 Jan 2015;112;100;2014-2015
4439;Atlanta Hawks - Minnesota Timberwolves;bwin;-10000;+1600;Sunday, 25 Jan 2015, 22:00;Final result 112:100 (25:24, 36:23, 25:30, 26:23);1;Atlanta Hawks;Minnesota Timberwolves;25 Jan 2015;112;100;2014-2015
4440;Atlanta Hawks - Minnesota Timberwolves;Marathonbet;-2500;+1600;Sunday, 25 Jan 2015, 22:00;Final result 112:100 (25:24, 36:23, 25:30, 26:23);1;Atlanta Hawks;Minnesota Timberwolves;25 Jan 2015;112;100;2014-2015
4441;Atlanta Hawks - Minnesota Timberwolves;Pinnacle;-3333;+1900;Sunday, 25 Jan 2015, 22:00;Final result 112:100 (25:24, 36:23, 25:30, 26:23);1;Atlanta Hawks;Minnesota Timberwolves;25 Jan 2015;112;100;2014-2015
4442;Atlanta Hawks - Minnesota Timberwolves;Unibet;-5000;+1800;Sunday, 25 Jan 2015, 22:00;Final result 112:100 (25:24, 36:23, 25:30, 26:23);1;Atlanta Hawks;Minnesota Timberwolves;25 Jan 2015;112;100;2014-2015
4443;Atlanta Hawks - Minnesota Timberwolves;William Hill;-5000;+1600;Sunday, 25 Jan 2015, 22:00;Final result 112:100 (25:24, 36:23, 25:30, 26:23);1;Atlanta Hawks;Minnesota Timberwolves;25 Jan 2015;112;100;2014-2015
4466;New Orleans Pelicans - Dallas Mavericks;bet-at-home;+127;-164;Sunday, 25 Jan 2015, 22:00;Final result 109:106 (25:22, 36:34, 28:28, 20:22);1;New Orleans Pelicans;Dallas Mavericks;25 Jan 2015;109;106;2014-2015
4467;New Orleans Pelicans - Dallas Mavericks;bet365;+140;-161;Sunday, 25 Jan 2015, 22:00;Final result 109:106 (25:22, 36:34, 28:28, 20:22);1;New Orleans Pelicans;Dallas Mavericks;25 Jan 2015;109;106;2014-2015
4468;New Orleans Pelicans - Dallas Mavericks;bwin;+145;-175;Sunday, 25 Jan 2015, 22:00;Final result 109:106 (25:22, 36:34, 28:28, 20:22);1;New Orleans Pelicans;Dallas Mavericks;25 Jan 2015;109;106;2014-2015
4469;New Orleans Pelicans - Dallas Mavericks;Marathonbet;+150;-161;Sunday, 25 Jan 2015, 22:00;Final result 109:106 (25:22, 36:34, 28:28, 20:22);1;New Orleans Pelicans;Dallas Mavericks;25 Jan 2015;109;106;2014-2015
4470;New Orleans Pelicans - Dallas Mavericks;Pinnacle;+140;-154;Sunday, 25 Jan 2015, 22:00;Final result 109:106 (25:22, 36:34, 28:28, 20:22);1;New Orleans Pelicans;Dallas Mavericks;25 Jan 2015;109;106;2014-2015
4471;New Orleans Pelicans - Dallas Mavericks;Unibet;+135;-167;Sunday, 25 Jan 2015, 22:00;Final result 109:106 (25:22, 36:34, 28:28, 20:22);1;New Orleans Pelicans;Dallas Mavericks;25 Jan 2015;109;106;2014-2015
4472;New Orleans Pelicans - Dallas Mavericks;William Hill;+145;-164;Sunday, 25 Jan 2015, 22:00;Final result 109:106 (25:22, 36:34, 28:28, 20:22);1;New Orleans Pelicans;Dallas Mavericks;25 Jan 2015;109;106;2014-2015
4495;Orlando Magic - Indiana Pacers;bet-at-home;+100;-130;Sunday, 25 Jan 2015, 22:00;Final result 99:106 (27:24, 22:27, 33:24, 17:31);1;Orlando Magic;Indiana Pacers;25 Jan 2015; 99;106;2014-2015
4496;Orlando Magic - Indiana Pacers;bet365;+104;-125;Sunday, 25 Jan 2015, 22:00;Final result 99:106 (27:24, 22:27, 33:24, 17:31);1;Orlando Magic;Indiana Pacers;25 Jan 2015; 99;106;2014-2015
4497;Orlando Magic - Indiana Pacers;bwin;+110;-133;Sunday, 25 Jan 2015, 22:00;Final result 99:106 (27:24, 22:27, 33:24, 17:31);1;Orlando Magic;Indiana Pacers;25 Jan 2015; 99;106;2014-2015
4498;Orlando Magic - Indiana Pacers;Marathonbet;+118;-128;Sunday, 25 Jan 2015, 22:00;Final result 99:106 (27:24, 22:27, 33:24, 17:31);1;Orlando Magic;Indiana Pacers;25 Jan 2015; 99;106;2014-2015
4499;Orlando Magic - Indiana Pacers;Pinnacle;+102;-114;Sunday, 25 Jan 2015, 22:00;Final result 99:106 (27:24, 22:27, 33:24, 17:31);1;Orlando Magic;Indiana Pacers;25 Jan 2015; 99;106;2014-2015
4500;Orlando Magic - Indiana Pacers;Unibet;+100;-122;Sunday, 25 Jan 2015, 22:00;Final result 99:106 (27:24, 22:27, 33:24, 17:31);1;Orlando Magic;Indiana Pacers;25 Jan 2015; 99;106;2014-2015
4501;Orlando Magic - Indiana Pacers;William Hill;+104;-125;Sunday, 25 Jan 2015, 22:00;Final result 99:106 (27:24, 22:27, 33:24, 17:31);1;Orlando Magic;Indiana Pacers;25 Jan 2015; 99;106;2014-2015
4524;Phoenix Suns - Los Angeles Clippers;bet-at-home;+112;-143;Sunday, 25 Jan 2015, 22:00;Final result 100:120 (16:23, 41:32, 20:34, 23:31);1;Phoenix Suns;Los Angeles Clippers;25 Jan 2015;100;120;2014-2015
