,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddHome,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway,OddAway
Bookmaker,impliedProb1xBet,impliedProbCoolbet,impliedProbMarathonbet,impliedProbPinnacle,impliedProbUnibet,impliedProbWilliam Hill,impliedProbbet-at-home,impliedProbbet365,impliedProbbwin,impliedProb1xBet,impliedProbCoolbet,impliedProbMarathonbet,impliedProbPinnacle,impliedProbUnibet,impliedProbWilliam Hill,impliedProbbet-at-home,impliedProbbet365,impliedProbbwin
game_id,,,,,,,,,,,,,,,,,,
201810240SAC,44.44444444444444,44.44444444444444,43.66812227074236,44.052863436123346,44.44444444444444,44.44444444444444,46.08294930875576,45.45454545454545,46.728971962616825,57.446808510638306,59.51417004048582,58.50622406639005,58.8477366255144,59.51417004048582,58.8477366255144,59.83935742971887,58.50622406639005,58.15899581589959
201810240SAS,56.52173913043478,55.55555555555556,54.337899543378995,54.12844036697248,54.54545454545454,55.55555555555556,55.947136563876654,55.55555555555556,55.55555555555556,47.61904761904761,49.01960784313725,47.61904761904761,48.54368932038835,49.504950495049506,49.01960784313725,50.0,49.01960784313725,49.01960784313725
201810240TOR,78.72340425531915,80.65764023210832,78.72340425531915,79.38144329896907,78.72340425531915,80.0,81.30841121495327,80.0,79.38144329896907,23.58490566037736,23.25581395348837,23.25581395348837,23.25581395348837,25.31645569620253,23.094688221709006,24.57002457002457,23.809523809523807,25.64102564102564
201810250DET,81.30841121495327,84.02555910543131,81.98198198198197,82.63888888888889,83.33333333333334,83.33333333333334,84.7560975609756,84.02555910543131,83.33333333333334,20.66115702479339,20.0,20.2020202020202,19.801980198019802,20.408163265306122,20.0,21.141649048625794,20.0,21.052631578947366
201810250LAL,50.0,50.0,49.01960784313725,49.504950495049506,49.504950495049506,50.0,51.45631067961165,51.21951219512195,46.728971962616825,53.70370370370371,54.12844036697248,53.48837209302325,53.271028037383175,54.54545454545454,54.54545454545454,54.337899543378995,53.70370370370371,58.15899581589959
201810250OKC,50.73891625615764,52.15311004784689,50.495049504950494,51.92307692307693,50.98039215686274,51.21951219512195,53.271028037383175,51.21951219512195,51.21951219512195,51.45631067961165,52.15311004784689,52.15311004784689,50.495049504950494,52.83018867924528,51.21951219512195,52.60663507109005,53.70370370370371,53.48837209302325
201810250ORL,42.19409282700422,41.66666666666667,42.016806722689076,42.016806722689076,40.816326530612244,41.66666666666667,44.052863436123346,41.66666666666667,42.5531914893617,62.546816479400746,62.121212121212125,60.629921259842526,60.629921259842526,63.63636363636363,61.68582375478927,62.121212121212125,61.68582375478927,62.546816479400746
201810260CHO,84.02555910543131,85.46511627906976,84.7560975609756,84.02555910543131,84.7560975609756,85.46511627906976,87.71498771498771,86.20689655172413,86.20689655172413,18.34862385321101,18.51851851851852,18.01801801801802,18.148820326678766,18.867924528301888,17.24137931034483,18.6219739292365,18.181818181818183,18.181818181818183
201810260HOU,61.68582375478927,63.63636363636363,62.546816479400746,62.121212121212125,61.68582375478927,63.63636363636363,63.63636363636363,63.63636363636363,62.546816479400746,40.48582995951417,40.816326530612244,40.0,40.16064257028113,42.5531914893617,40.0,42.3728813559322,39.37007874015748,41.66666666666667
201810260MIN,44.843049327354265,46.728971962616825,44.44444444444444,44.642857142857146,47.61904761904761,45.45454545454545,47.61904761904761,45.45454545454545,47.61904761904761,58.15899581589959,57.446808510638306,58.15899581589959,57.80590717299579,56.896551724137936,57.80590717299579,58.50622406639005,58.50622406639005,57.08154506437768
201810260NOP,80.65764023210832,81.30841121495327,80.0,79.38144329896907,81.30841121495327,81.98198198198197,81.98198198198197,81.98198198198197,81.98198198198197,22.831050228310502,22.727272727272727,22.47191011235955,23.04147465437788,22.727272727272727,22.22222222222222,24.330900243309003,22.22222222222222,22.22222222222222
201810260NYK,12.21001221001221,14.5985401459854,12.345679012345679,12.804097311139564,13.333333333333334,11.76470588235294,14.367816091954023,13.333333333333334,13.333333333333334,90.08919722497522,89.28188638799571,90.08919722497522,89.28188638799571,90.08919722497522,90.9090909090909,91.74236168455822,90.9090909090909,91.74236168455822
201810260SAC,36.101083032490976,36.101083032490976,35.587188612099645,35.587188612099645,36.36363636363637,36.36363636363637,36.63003663003663,35.842293906810035,35.842293906810035,66.66666666666666,68.05111821086261,67.10526315789474,66.66666666666666,67.53246753246754,66.66666666666666,69.41896024464832,68.94409937888199,68.94409937888199
201810260TOR,90.9090909090909,90.9090909090909,90.08919722497522,90.08919722497522,88.49252013808976,90.08919722497522,90.9090909090909,90.9090909090909,89.28188638799571,12.21001221001221,13.333333333333334,12.5,12.562814070351758,14.814814814814813,12.5,14.925373134328357,13.333333333333334,15.384615384615385
201810270ATL,69.96996996996997,69.41896024464832,69.41896024464832,69.41896024464832,68.45425867507886,69.41896024464832,71.42857142857143,70.41420118343196,69.41896024464832,33.557046979865774,34.602076124567475,33.33333333333333,33.33333333333333,35.842293906810035,34.48275862068966,34.48275862068966,33.89830508474576,35.08771929824561
201810270CLE,28.40909090909091,29.411764705882355,27.932960893854748,28.08988764044944,29.850746268656714,28.57142857142857,29.850746268656714,29.411764705882355,27.77777777777778,75.18610421836229,74.61928934010153,74.61928934010153,74.61928934010153,74.61928934010153,75.18610421836229,76.35933806146572,75.18610421836229,76.905311778291
201810270DET,41.1522633744856,41.66666666666667,40.816326530612244,41.32231404958678,41.1522633744856,41.66666666666667,43.66812227074236,41.66666666666667,42.5531914893617,62.546816479400746,62.121212121212125,61.68582375478927,60.9375,62.546816479400746,61.68582375478927,62.546816479400746,61.68582375478927,61.68582375478927
201810270MEM,75.18610421836229,97.08709583454704,74.61928934010153,74.61928934010153,80.65764023210832,75.18610421836229,77.52808988764045,76.905311778291,79.38144329896907,28.24858757062147,27.85515320334262,27.932960893854748,27.85515320334262,26.666666666666668,27.027027027027028,28.653295128939828,27.397260273972602,25.64102564102564
201810270MIA,52.60663507109005,81.98198198198197,53.271028037383175,53.70370370370371,54.54545454545454,54.54545454545454,55.15695067264574,54.54545454545454,54.54545454545454,50.495049504950494,34.602076124567475,49.504950495049506,49.01960784313725,49.504950495049506,50.0,50.73891625615764,50.0,50.0
201810270MIL,81.98198198198197,93.4597776324395,81.30841121495327,80.65764023210832,83.33333333333334,81.98198198198197,83.33333333333334,81.98198198198197,83.33333333333334,21.645021645021643,12.5,21.27659574468085,21.78649237472767,20.408163265306122,21.78649237472767,22.831050228310502,22.22222222222222,21.052631578947366
