,game_id,Y_prob,odds_mean,per_bet,firm,p_return,team_abbr,home
202211270BOS,,0.7295519100688453,0.7353340087256319,0.0007734729404634,Unibet,2.75,WAS,False
202211270DET,,0.2908845743067335,0.2793453758393262,0.0,,0.0,,0
202211270NYK,,0.5028566001215812,0.4715118920988743,0.0037251150357729,bet365,1.04,NYK,True
202211270ORL,,0.4132996731340714,0.5041026937670539,0.0260100980597785,Unibet,1.0,PHI,False
202211270MIL,,0.6779612623293816,0.6725646769073295,0.0,,0.0,,0
202211280PHI,,0.6023680305380688,0.5667135484523389,0.0074489389478976,Unibet,0.7194244604316546,PHI,True
202211280WAS,,0.4470051564837659,0.5138847798898615,0.0158984530548702,bet365,1.0,MIN,False
202211280BOS,,0.7716931357031879,0.8272847835763362,0.009876772727579,bet365,4.75,CHO,False
202211280BRK,,0.8239868876046796,0.8297855574693751,0.0016823602311576,bet365,5.0,ORL,False
202211280TOR,,0.6116851452348522,0.6404876815740571,0.0042750095175793,bet365,1.7,CLE,False
202211280NOP,,0.6974507076478244,0.6492351112439425,0.0102222269332948,Unibet,0.4807692307692308,NOP,True
202211280DEN,,0.7911395547848854,0.8258866543782852,0.0049577482894376,bet365,4.5,HOU,False
202211280UTA,,0.6068868859161993,0.543222362110354,0.0155553149833401,Unibet,0.78125,UTA,True
202211280SAC,,0.5105429064494912,0.4997436700716197,0.00096031501387,Unibet,0.970873786407767,SAC,True
202211280LAL,,0.6774679189040728,0.5950130284491493,0.0261476808591639,Unibet,0.6410256410256411,LAL,True
202211290DAL,,0.5647744644696556,0.5015253592507691,0.0096397647914639,Unibet,0.8695652173913043,DAL,True
202211290POR,,0.7046333355858501,0.6116898777975823,0.0317056509021329,bet365,0.5988023952095808,POR,True
202211300CLE,,0.6043623848532429,0.6003925803944629,0.0004791762148795,bet365,1.54,PHI,False
202211300ORL,,0.3111381471126273,0.3145854153193965,0.0,,0.0,,0
202211300BOS,,0.7716024662740385,0.7784071630766439,0.0029784489937305,Unibet,3.7,MIA,False
202211300BRK,,0.6967039083603355,0.6593978151210244,0.0116969822123129,Unibet,0.4901960784313725,BRK,True
202211300NYK,,0.3193856964779284,0.3293888159701253,0.0,,0.0,,0
202211300MIN,,0.4219888323429634,0.4292256603128153,0.0,,0.0,,0
202211300NOP,,0.3896594995287684,0.4404555330946088,0.0091380909203502,Unibet,0.7092198581560284,TOR,False
202211300OKC,,0.5396794155726402,0.5683112824026799,0.0062946672486806,bet365,1.29,SAS,False
202211300DEN,,0.8029981734270824,0.8292173399795859,0.0054603287831251,bet365,5.0,HOU,False
202211300PHO,,0.6928502455987171,0.6506822207702954,0.0099397119930149,Unibet,0.4901960784313725,PHO,True
202211300UTA,,0.6993912254832182,0.7165250459600687,0.0013793645848161,bet365,2.4,LAC,False
202212020CHO,,0.385921878684524,0.394249462166471,0.0,,0.0,,0
202212020MEM,,0.674449594189434,0.6330793672035211,0.010827201515983,bet365,0.5405405405405406,MEM,True
202212020SAS,,0.3635335117452329,0.2892524766144269,0.014750871245862,Unibet,2.4,SAS,True
202212020PHO,,0.7890010804874685,0.8295449109773847,0.0079798055122556,bet365,5.0,HOU,False
202212020UTA,,0.6360577674087713,0.6074424622709697,0.0042411358472129,bet365,0.5988023952095808,UTA,True
202212020GSW,,0.7076743348266752,0.7088712223200353,0.0,,0.0,,0
202212030NYK,,0.499030976909196,0.478896595678723,0.0,,0.0,,0
202212030LAC,,0.3913581085802655,0.4087204896702285,0.0073499694224932,Unibet,0.6993006993006993,SAC,False
202212030CHO,,0.4065615968078642,0.4598699795450915,0.0127854610773458,bet365,0.8,MIL,False
