,Y_prob,odds_mean,per_bet,home,firm,p_return,team_abbr
202212030LAC,0.3551530965482929,0.404501096859594,0.01841577772885747,False,Unibet,0.6802721088435374,SAC
202212030CHO,0.38704786718207806,0.46460644798064293,0.019371344826048652,False,bet365,0.8,MIL
202212030MIN,0.6900728380957629,0.6426513597225861,0.008673214171667882,True,Unibet,0.4901960784313725,MIN
202212030TOR,0.8044265056369255,0.8315549447838564,0.003933081871189839,False,bet365,4.75,ORL
202212030GSW,0.7648551706469752,0.8233304614959479,0.011118403224628193,False,bet365,4.75,HOU
202212030UTA,0.7139003146304074,0.6441011678738071,0.02125514158368332,True,bet365,0.5,UTA
202212040NOP,0.6135585874413676,0.5342998966819795,0.021315009617975406,True,Unibet,0.819672131147541,NOP
202212040SAS,0.2326253038674393,0.19818496493826646,0.0053793841904020215,True,Unibet,3.9,SAS
202212040SAC,0.5848644240774352,0.5788826732472213,0.0,0,0,0.0,0
202212040WAS,0.626699933744012,0.5365123930318103,0.02793087833429192,True,Unibet,0.847457627118644,WAS
202212040NYK,0.4258928362812199,0.4356587812893764,0.0,0,0,0.0,0
202212040DET,0.333805482223889,0.2999387831941995,0.005657854481842614,True,bet365,2.25,DET
202212040BRK,0.40967783787942363,0.4452637523402231,0.005588562147503151,False,bet365,0.7407407407407407,BOS
202212040POR,0.7182919614457046,0.6424871816221457,0.023231382650567078,True,bet365,0.5,POR
202212050CHO,0.3222895913427266,0.32640784283717883,0.0,0,0,0.0,0
202212050ORL,0.21410037512921953,0.19398708982187135,0.0032923316408701997,True,Unibet,4.09,ORL
202212050ATL,0.6733059709582474,0.6786240244869586,0.0,0,0,0.0,0
202212050TOR,0.4627632587100485,0.5285694050664723,0.012532090794956176,False,Unibet,1.02,BOS
202212050HOU,0.36477219765756536,0.2598964219335453,0.020685768808861513,True,Unibet,2.8,HOU
202212050MEM,0.34340805954016124,0.35142515205666824,0.0,0,0,0.0,0
202212050DAL,0.6023700902459698,0.582577057427702,0.002678118436131793,True,Unibet,0.6802721088435374,DAL
202212050GSW,0.8129217385309092,0.8422011656676203,0.0036740870644363403,False,bet365,5.0,IND
202212060CLE,0.7140058666206075,0.668157931770172,0.009719877577407965,True,bet365,0.4405286343612334,CLE
202212060MIA,0.6667434394932653,0.730425617439266,0.011522516412937205,False,Unibet,2.6,DET
202212060DEN,0.6578980160232535,0.6281465753367643,0.006830319705731586,True,bet365,0.5586592178770949,DEN
202212070ORL,0.3465303139482055,0.30096173428433615,0.007424795770517564,True,Unibet,2.2,ORL
202212070NYK,0.5031904275102526,0.5527118761993612,0.01162263243468054,False,bet365,1.2,ATL
202212070BRK,0.792692096578202,0.8006764334790265,0.000608027952569612,False,Unibet,3.9,CHO
202212070TOR,0.8182884001343297,0.849215289347508,0.004939783612550646,False,bet365,5.5,LAL
202212070NOP,0.8120057552186362,0.8164983723183292,0.0025568497103002756,False,Unibet,4.75,DET
202212070MIN,0.6889701301916292,0.6373113159387017,0.02170017870404705,True,bet365,0.5714285714285714,MIN
202212070CHI,0.684511298940086,0.6411126796796152,0.011815948935757669,True,Unibet,0.5208333333333334,CHI
202212070MEM,0.7370889425518259,0.7506017492452337,0.0,0,0,0.0,0
202212070MIL,0.6642029697530059,0.6879703797245342,0.0029264852689772775,False,bet365,2.1,SAC
202212070UTA,0.6922530556966253,0.6602654451687151,0.005512809649565581,True,Unibet,0.4694835680751174,UTA
202212070PHO,0.46481167603474427,0.5430600012729327,0.019118817537585157,False,bet365,1.14,BOS
202212080MIA,0.6648556221523162,0.6949819542317035,0.006722161776345833,False,Unibet,2.29,LAC
202212080SAS,0.489948671208511,0.45670223632680396,0.006380283735028094,True,bet365,1.14,SAS
202212080POR,0.44322507759288376,0.46112746040823593,0.0,0,0,0.0,0
202212090CHO,0.31525061060677456,0.396091736590805,0.02894376552699858,False,Unibet,0.6410256410256411,NYK
202212090IND,0.7121236873695906,0.611425120488523,0.033841907853629824,True,bet365,0.591715976331361,IND
202212090ORL,0.35147194290414935,0.25299921001248754,0.019744788532443554,True,Unibet,2.95,ORL
202212090BRK,0.6871813050611398,0.7207345236401411,0.0039739726745077865,False,bet365,2.4,ATL
202212090CLE,0.6500544556783959,0.6004235939716694,0.014046156031056816,True,bet365,0.6289308176100629,CLE
202212090PHI,0.7059634517574015,0.6348263090564429,0.021211991869741858,True,Unibet,0.5208333333333334,PHI
202212090MEM,0.8032731351369131,0.8185663279803939,0.002733258558232593,False,Unibet,4.5,DET
