,Name,Id,height,weight,PG,SG,SF,PF,CE,salary,shoots,debut,birth,experience
433,Josh Okogie,okogijo01,193,96,-1,1,-1,-1,-1,2530680.0,Right,"October 20, 2018","September 1, 1998",4 years
434,Naz Reid,reidna01,206,119,-1,-1,-1,-1,1,898310.0,Right,"December 8, 2019","August 26, 1999",3 years
435,D'Angelo Russell,russeda01,193,87,1,-1,-1,-1,-1,27285000.0,Left,"October 28, 2015","February 23, 1996",7 years
436,Karl-Anthony Towns,townska01,211,112,-1,-1,-1,-1,1,27285000.0,Right,"October 28, 2015","November 15, 1995",7 years
437,Andrew Wiggins,wiggian01,201,89,-1,-1,1,2,-1,27504630.0,Right,"October 29, 2014","February 23, 1995",8 years
438,Jordan Bone,bonejo01,188,81,1,-1,-1,-1,-1,,Right,"November 4, 2019","November 5, 1997",2 years
439,Bruce Brown,brownbr01,193,91,1,3,2,-1,-1,1416852.0,Right,"October 17, 2018","August 15, 1996",4 years
440,Sekou Doumbouya,doumbse01,203,104,-1,-1,-1,1,-1,3285120.0,Right,"November 23, 2019","December 23, 2000",3 years
441,Andre Drummond,drumman01,208,126,-1,-1,-1,-1,1,27093019.0,Right,"October 31, 2012","August 10, 1993",10 years
442,Tim Frazier,fraziti01,183,77,1,-1,-1,-1,-1,1882867.0,Right,"February 6, 2015","November 1, 1990",8 years
443,Langston Galloway,gallola01,185,90,2,1,-1,-1,-1,7333333.0,Right,"January 7, 2015","December 9, 1991",8 years
444,Blake Griffin,griffbl01,206,113,-1,-1,-1,1,2,34234964.0,Right,"October 27, 2010","March 16, 1989",12 years
445,John Henson,hensojo01,206,99,-1,-1,-1,2,1,9732396.0,Right,"November 7, 2012","December 28, 1990",8 years
446,Luke Kennard,kennalu01,196,93,-1,1,-1,-1,-1,3827160.0,Left,"October 20, 2017","June 24, 1996",5 years
447,Louis King,kinglo02,201,92,-1,-1,1,-1,-1,,Right,"December 26, 2019","April 6, 1999",3 years
448,Brandon Knight,knighbr03,188,82,1,2,-1,-1,-1,15643750.0,Right,"December 26, 2011","December 2, 1991",9 years
449,Thon Maker,makerth01,213,100,-1,-1,-1,2,1,3569643.0,Right,"October 30, 2016","February 25, 1997",5 years
450,Svi Mykhailiuk,mykhasv01,201,92,-1,2,1,-1,-1,1416852.0,Right,"October 22, 2018","June 10, 1997",4 years
451,Derrick Rose,rosede01,188,90,1,-1,-1,-1,-1,7317073.0,Right,"October 28, 2008","October 4, 1988",13 years
452,Tony Snell,snellto01,198,96,-1,1,2,-1,-1,11392857.0,Right,"October 29, 2013","November 10, 1991",9 years
453,Khyri Thomas,thomakh01,190,95,-1,1,-1,-1,-1,1416852.0,Right,"November 9, 2018","May 8, 1996",3 years
454,Christian Wood,woodch01,208,97,-1,-1,-1,1,2,1645357.0,Right,"October 28, 2015","September 27, 1995",6 years
455,Kadeem Allen,allenka01,185,90,1,-1,-1,-1,-1,,Right,"December 11, 2017","January 15, 1993",3 years
456,RJ Barrett,barrerj01,198,97,-1,1,2,-1,-1,7839960.0,Left,"October 23, 2019","June 14, 2000",3 years
457,Ignas Brazdeikis,brazdig01,198,100,-1,-1,1,-1,-1,898310.0,Left,"November 3, 2019","January 8, 1999",3 years
458,Reggie Bullock,bullore01,198,92,-1,2,1,-1,-1,4000000.0,Right,"October 29, 2013","March 16, 1991",9 years
459,Damyean Dotson,dotsoda01,196,95,-1,1,-1,-1,-1,1618520.0,Right,"October 19, 2017","May 6, 1994",5 years
460,Wayne Ellington,ellinwa01,193,93,-1,1,-1,-1,-1,8000000.0,Right,"October 28, 2009","November 29, 1987",13 years
461,Taj Gibson,gibsota01,206,105,-1,-1,-1,1,2,9800000.0,Right,"October 29, 2009","June 24, 1985",13 years
462,Kevin Knox,knoxke01,201,97,-1,-1,1,2,-1,4380120.0,Right,"October 17, 2018","August 11, 1999",4 years
463,Frank Ntilikina,ntilila01,193,90,1,2,-1,-1,-1,4855800.0,Right,"October 19, 2017","July 28, 1998",5 years
464,Elfrid Payton,paytoel01,190,88,1,-1,-1,-1,-1,8000000.0,Right,"October 28, 2014","February 22, 1994",8 years
465,Bobby Portis,portibo01,208,113,-1,-1,-1,1,2,15000000.0,Right,"November 3, 2015","February 10, 1995",7 years
466,Julius Randle,randlju01,203,113,-1,-1,-1,1,2,18000000.0,Left,"October 28, 2014","November 29, 1994",8 years
467,Mitchell Robinson,robinmi01,213,108,-1,-1,-1,-1,1,1559712.0,Right,"October 17, 2018","April 1, 1998",4 years
468,Dennis Smith Jr.,smithde03,188,92,1,-1,-1,-1,-1,4463640.0,Right,"October 18, 2017","November 25, 1997",5 years
469,Allonzo Trier,trieral01,193,90,-1,1,-1,-1,-1,3551100.0,Right,"October 17, 2018","January 17, 1996",2 years
470,Marques Bolden,boldema01,208,112,-1,-1,-1,-1,1,50752.0,Right,"February 1, 2020","April 17, 1998",2 years
471,Matthew Dellavedova,dellama01,190,90,1,2,-1,-1,-1,9607500.0,Right,"November 2, 2013","September 8, 1990",8 years
472,Darius Garland,garlada01,185,87,1,2,-1,-1,-1,6400920.0,Right,"October 23, 2019","January 26, 2000",3 years
473,Kevin Love,loveke01,203,113,-1,-1,-1,1,2,28942830.0,Right,"October 29, 2008","September 7, 1988",14 years
474,J.P. Macura,macurjp01,196,92,-1,1,-1,-1,-1,106184.0,Right,"January 2, 2019","June 5, 1995",2 years
475,Alfonzo McKinnie,mckinal01,201,97,-1,-1,1,-1,-1,2391985.0,Right,"October 19, 2017","September 17, 1992",5 years
476,Matt Mooney,moonema01,190,90,-1,1,-1,-1,-1,,Right,"January 20, 2020","February 7, 1997",2 years
477,Larry Nance Jr.,nancela02,201,111,-1,-1,-1,1,2,12727273.0,Right,"November 6, 2015","January 1, 1993",7 years
478,Malik Newman,newmama01,190,86,1,2,-1,-1,-1,65978.0,Right,"February 9, 2020","February 21, 1997",2 years
479,Cedi Osman,osmande01,201,104,-1,-1,1,-1,-1,2907143.0,Right,"October 20, 2017","April 8, 1995",5 years
480,Kevin Porter Jr.,porteke02,193,92,2,1,3,-1,-1,1290960.0,Left,"October 23, 2019","May 4, 2000",3 years
481,Collin Sexton,sextoco01,185,86,2,1,-1,-1,-1,4764960.0,Right,"October 17, 2018","January 4, 1999",4 years
482,Tristan Thompson,thomptr01,206,115,-1,-1,-1,1,2,18539130.0,Left Right,"December 26, 2011","March 13, 1991",11 years
483,Dean Wade,wadede01,206,103,-1,-1,-1,1,-1,375000.0,Right,"November 18, 2019","November 20, 1996",3 years
484,Ante Žižić,zizican01,208,120,-1,-1,-1,-1,1,2281800.0,Right,"October 21, 2017","January 4, 1997",3 years
485,Ryan Arcidiacono,arcidry01,190,88,1,-1,-1,-1,-1,3000000.0,Right,"October 19, 2017","March 26, 1994",5 years
486,Wendell Carter Jr.,cartewe01,208,122,-1,-1,-1,2,1,5201400.0,Right,"October 18, 2018","April 16, 1999",4 years
487,Kris Dunn,dunnkr01,190,92,1,-1,-1,-1,-1,5348007.0,Right,"October 26, 2016","March 18, 1994",6 years
488,Cristiano Felício,feliccr01,211,122,-1,-1,-1,-1,1,8156500.0,Right,"November 9, 2015","July 7, 1992",6 years
489,Daniel Gafford,gaffoda01,208,106,-1,-1,-1,2,1,898310.0,Right,"October 26, 2019","October 1, 1998",3 years
490,Shaquille Harrison,harrish01,201,86,2,1,-1,-1,-1,898310.0,Left,"February 23, 2018","October 6, 1993",5 years
491,Chandler Hutchison,hutchch01,198,95,-1,-1,1,-1,-1,2332320.0,Right,"October 18, 2018","April 26, 1996",4 years
492,Luke Kornet,kornelu01,218,113,-1,-1,-1,2,1,2250000.0,Right,"February 8, 2018","July 15, 1995",5 years
493,Zach LaVine,lavinza01,196,90,3,1,2,-1,-1,19500000.0,Right,"October 30, 2014","March 10, 1995",8 years
494,Lauri Markkanen,markkla01,213,108,-1,-1,2,1,-1,5300400.0,Right,"October 19, 2017","May 22, 1997",5 years
495,Adam Mokoka,mokokad01,193,86,-1,1,2,-1,-1,,Right,"December 28, 2019","July 18, 1998",2 years
496,Otto Porter Jr.,porteot01,203,89,-1,-1,1,2,-1,27250576.0,Right,"December 6, 2013","June 3, 1993",9 years
497,Tomáš Satoranský,satorto01,201,95,2,1,3,-1,-1,9375000.0,Right,"October 27, 2016","October 30, 1991",6 years
498,Max Strus,strusma01,196,97,-1,-1,1,-1,-1,415414.0,Right,"November 22, 2019","March 28, 1996",3 years
499,Denzel Valentine,valende01,193,99,-1,1,2,-1,-1,3377569.0,Right,"October 29, 2016","November 16, 1993",5 years
500,Coby White,whiteco01,196,88,1,-1,-1,-1,-1,5307120.0,Right,"October 23, 2019","February 16, 2000",3 years
501,Thaddeus Young,youngth01,203,106,-1,-1,-1,1,-1,12900000.0,Left,"November 7, 2007","June 21, 1988",15 years
502,Ky Bowman,bowmaky01,185,84,1,-1,-1,-1,-1,350189.0,Right,"October 24, 2019","June 16, 1997",1 year
503,Marquese Chriss,chrisma01,206,108,-1,-1,-1,1,-1,1413272.0,Right,"October 26, 2016","July 2, 1997",6 years
504,Stephen Curry,curryst01,188,83,1,-1,-1,-1,-1,40231758.0,Right,"October 28, 2009","March 14, 1988",13 years
505,Draymond Green,greendr01,198,104,-1,-1,2,1,-1,18539130.0,Right,"October 31, 2012","March 4, 1990",10 years
506,Damion Lee,leeda03,196,95,-1,1,-1,-1,-1,842327.0,Right,"March 13, 2018","October 21, 1992",5 years
507,Kevon Looney,looneke01,206,100,-1,-1,-1,2,1,4464286.0,Right,"January 27, 2016","February 6, 1996",7 years
508,Mychal Mulder,muldemy01,190,83,1,-1,2,-1,-1,238534.0,Right,"February 27, 2020","June 12, 1994",3 years
509,Jeremy Pargo,pargoje01,188,99,1,2,-1,-1,-1,91557.0,Right,"December 26, 2011","March 17, 1986",3 years
510,Eric Paschall,pascher01,198,115,-1,-1,-1,1,-1,898310.0,Right,"October 24, 2019","November 4, 1996",3 years
511,Jordan Poole,poolejo01,193,87,-1,1,-1,-1,-1,1964760.0,Right,"October 24, 2019","June 19, 1999",3 years
512,Chasson Randle,randlch01,188,83,1,-1,-1,-1,-1,91557.0,Right,"January 14, 2017","February 5, 1993",4 years
513,Alen Smailagić,smailal01,208,97,-1,-1,-1,1,2,898310.0,Right,"December 27, 2019","August 18, 2000",2 years
514,Omari Spellman,spellom01,203,111,-1,-1,-1,2,1,1897800.0,Right,"October 17, 2018","July 21, 1997",2 years
515,Juan Toscano-Anderson,toscaju01,198,94,-1,2,1,-1,-1,350189.0,Right,"February 8, 2020","April 10, 1993",3 years
516,Dwayne Bacon,bacondw01,198,100,-1,1,-1,-1,-1,1618520.0,Right,"October 18, 2017","August 30, 1995",4 years
517,Nicolas Batum,batumni01,203,104,-1,2,1,3,-1,25565217.0,Right,"October 28, 2008","December 14, 1988",14 years
518,Bismack Biyombo,biyombi01,203,115,-1,-1,-1,-1,1,17000000.0,Right,"December 26, 2011","August 28, 1992",11 years
519,Miles Bridges,bridgmi02,198,102,-1,-1,2,1,-1,3755400.0,Left,"October 17, 2018","March 21, 1998",4 years
520,Joe Chealey,chealjo01,190,86,1,-1,-1,-1,-1,163356.0,Right,"January 30, 2019","November 1, 1995",2 years
521,Devonte' Graham,grahade01,185,88,1,-1,-1,-1,-1,1416852.0,Right,"October 22, 2018","February 22, 1995",4 years
522,Willy Hernangómez,hernawi01,211,113,-1,-1,-1,-1,1,1676735.0,Right,"October 25, 2016","May 27, 1994",6 years
523,Caleb Martin,martica02,196,92,-1,-1,1,-1,-1,842166.0,Right,"October 25, 2019","September 28, 1995",3 years
524,Cody Martin,martico01,196,92,-1,-1,1,-1,-1,1173310.0,Right,"October 25, 2019","September 28, 1995",3 years
525,Jalen McDaniels,mcdanja01,206,92,-1,-1,1,-1,-1,898310.0,Right,"October 25, 2019","January 31, 1998",3 years
526,Malik Monk,monkma01,190,90,-1,1,-1,-1,-1,4028400.0,Right,"October 18, 2017","February 4, 1998",5 years
527,Terry Rozier,roziete01,185,86,1,2,-1,-1,-1,19894737.0,Right,"October 28, 2015","March 17, 1994",7 years
528,P.J. Washington,washipj01,201,104,-1,-1,-1,1,2,3831840.0,Right,"October 23, 2019","August 23, 1998",3 years
529,Cody Zeller,zelleco01,211,108,-1,-1,-1,-1,1,14471910.0,Right,"October 30, 2013","October 5, 1992",9 years
