,gameState,gameState,gameState,gameState,gameState,home,home,home,home,home,home,home,home,home,home,home,away,away,away,away,away,away,away,away,away,away,away,gameState
Bookmaker,winner,teamHome,teamAway,timeOfDay,location,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,q1Score,q2Score,q3Score,q4Score,overtimeScores,points,streak,daysSinceLastGame,playerRoster,record,matchupWins,rivalry
game_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201610290MIL,MIL,MIL,BRK,8:00p,"BMO Harris Bradley Center, Milwaukee, Wisconsin",24,22,34,30,[],110,-1,3.0,"['dellama01', 'antetgi01', 'parkeja01', 'snellto01', 'plumlmi01', 'vaughra01', 'hensojo01', 'monrogr01', 'teletmi01', 'brogdma01', 'beaslmi01', 'novakst01', 'makerth01']","[0, 1]",0,18,23,32,35,[],108,1,1.0,"['linje01', 'bogdabo02', 'booketr01', 'hamilju01', 'holliro01', 'kilpase01', 'harrijo01', 'scolalu01', 'bennean01', 'whiteis01', 'vasqugr01', 'mcculch01', 'lopezbr01']","[1, 1]",0,conference
201610290NYK,NYK,NYK,MEM,7:30p,"Madison Square Garden (IV), New York, New York",32,25,25,29,[],111,-1,4.0,"['porzikr01', 'anthoca01', 'leeco01', 'rosede01', 'noahjo01', 'holidju01', 'oquinky01', 'thomala01', 'jennibr01', 'hernawi01', 'vujacsa01', 'ndourma01', 'kuzmimi01']","[0, 1]",0,19,30,28,27,[],104,1,3.0,"['gasolma01', 'greenja01', 'ennisja01', 'harrian01', 'conlemi01', 'cartevi01', 'baldwwa01', 'randoza01', 'martija01', 'danietr01', 'willitr02', 'davisde01', 'allento01']","[1, 0]",0,none
201610290PHI,ATL,PHI,ATL,12:30p,"Wells Fargo Center, Philadelphia, Pennsylvania",24,15,19,14,[],72,-1,3.0,"['rodrise01', 'saricda01', 'covinro01', 'hendege02', 'embiijo01', 'stausni01', 'thompho01', 'holmeri01', 'grantje01', 'mccontj01', 'okafoja01', 'luwawti01']","[0, 1]",0,29,24,21,30,[],104,1,2.0,"['schrode01', 'millspa01', 'korveky01', 'bazemke01', 'howardw01', 'humphkr01', 'muscami01', 'delanma01', 'sefolth01', 'hardati02', 'bembrde01', 'princta02', 'tavarwa01']","[1, 0]",0,conference
201610290SAC,SAC,SAC,MIN,10:30p,"Golden 1 Center, Sacramento, California",25,29,31,21,[],106,-1,2.0,"['lawsoty01', 'gayru01', 'couside01', 'afflaar01', 'koufoko01', 'barnema02', 'mclembe01', 'templga01', 'tollian01', 'casspom01', 'caulewi01', 'richama01', 'collida01']","[1, 1]",0,34,31,12,26,[],103,-1,3.0,"['townska01', 'wiggian01', 'lavinza01', 'dienggo01', 'rubiori01', 'dunnkr01', 'bjeline01', 'aldrico01', 'rushbr01', 'muhamsh01', 'paynead01', 'jonesty01', 'hilljo01']","[0, 1]",0,conference
201610290SAS,SAS,SAS,NOP,8:00p,"AT&T Center, San Antonio, Texas",28,27,28,15,[],98,2,2.0,"['leonaka01', 'anderky01', 'aldrila01', 'millspa02', 'gasolpa01', 'simmojo02', 'laproni01', 'dedmode01', 'leeda02', 'forbebr01', 'bertada01', 'murrade01', 'parketo01']","[2, 0]",0,23,22,15,19,[],79,-2,1.0,"['davisan02', 'hillso01', 'fraziti01', 'mooreet01', 'asikom01', 'gallola01', 'cunnida01', 'stephla01', 'hieldbu01', 'ajincal01', 'joneste01', 'diallch01', 'holidjr01']","[0, 2]",0,division
201610300DET,DET,DET,MIL,6:00p,"The Palace of Auburn Hills, Auburn Hills, Michigan",24,26,25,23,[],98,1,2.0,"['drumman01', 'morrima03', 'caldwke01', 'harrito02', 'smithis01', 'leuerjo01', 'udrihbe01', 'johnsst04', 'baynear01', 'gbinimi01', 'hillida01', 'marjabo01', 'ellenhe01']","[1, 1]",0,21,18,26,18,[],83,1,1.0,"['antetgi01', 'dellama01', 'parkeja01', 'snellto01', 'plumlmi01', 'vaughra01', 'monrogr01', 'brogdma01', 'teletmi01', 'beaslmi01', 'hensojo01', 'makerth01', 'novakst01']","[1, 1]",0,division
201610300HOU,HOU,HOU,DAL,8:00p,"Toyota Center, Houston, Texas",34,29,17,13,[],93,1,2.0,"['hardeja01', 'arizatr01', 'gordoer01', 'anderry01', 'capelca01', 'hilarne01', 'mcdankj01', 'dekkesa01', 'breweco01', 'ennisty01', 'wiltjky01', 'harremo01', 'brownbo02']","[1, 1]",1,25,28,17,22,[],92,-2,2.0,"['matthwe02', 'barneha02', 'willide01', 'bogutan01', 'curryse01', 'bareajo01', 'anderju01', 'mejrisa01', 'poweldw01', 'nowitdi01', 'brussni01', 'finnedo01', 'acyqu01']","[0, 2]",0,division
201610300LAC,LAC,LAC,UTA,4:30p,"STAPLES Center, Los Angeles, California",19,23,27,19,[],88,1,3.0,"['griffbl01', 'paulch01', 'jordade01', 'redicjj01', 'mbahalu01', 'riverau01', 'crawfja01', 'feltora01', 'johnswe01', 'speigma01', 'bassbr01', 'stonedi01', 'anderal01']","[1, 0]",0,22,13,21,19,[],75,1,2.0,"['hillge01', 'hoodro01', 'goberru01', 'johnsjo02', 'diawbo01', 'exumda01', 'favorde01', 'inglejo01', 'lylestr01', 'macksh01', 'bolomjo01', 'netora01', 'witheje01']","[1, 1]",0,conference
201610300MEM,MEM,MEM,WAS,8:00p,"FedEx Forum, Memphis, Tennessee",27,31,20,22,[],112,-1,1.0,"['greenja01', 'conlemi01', 'ennisja01', 'gasolma01', 'martija01', 'cartevi01', 'harrian01', 'randoza01', 'baldwwa01', 'davisde01', 'willitr02', 'danietr01', 'allento01']","[1, 1]",0,22,32,23,23,[],103,-1,3.0,"['bealbr01', 'gortama01', 'walljo01', 'porteot01', 'morrima02', 'nichoan01', 'burketr01', 'thornma01', 'oubreke01', 'smithja02', 'mcclesh01', 'satorto01', 'ochefda01']","[0, 1]",0,none
201610300MIA,SAS,MIA,SAS,6:00p,"AmericanAirlines Arena, Miami, Florida",19,25,28,27,[],99,-1,2.0,"['winslju01', 'whiteha01', 'dragigo01', 'waitedi01', 'babbilu01', 'johnsty01', 'mcgruro01', 'johnsja01', 'reedwi02', 'willide02', 'mcrobjo01', 'richajo01', 'hasleud01']","[1, 1]",0,24,28,25,29,[],106,3,1.0,"['gasolpa01', 'leonaka01', 'leeda02', 'parketo01', 'anderky01', 'ginobma01', 'millspa02', 'simmojo02', 'bertada01', 'dedmode01', 'laproni01', 'murrade01', 'forbebr01']","[3, 0]",0,none
