,perMetric,perMetric,perMetricElo,perMetricElo,perMetricEloN,perMetricEloN,perMetricN,perMetricN,game
homeTeam,away,home,away,home,away,home,away,home,year
game_id,,,,,,,,,
201411070PHI,0.7262668049184065,-1.2665584246379786,0.8864128753434599,-1.562167074203854,,,,,2015
201411070PHO,2.1791224418335533,-0.12478498528661586,2.0644292404959534,-0.04857050861894496,,,,,2015
201411070TOR,0.876244542964292,0.9129128974898508,1.105496073520714,1.1002532301936774,,,,,2015
201411070UTA,-0.014169422844825696,0.444992471884738,0.09570926706554284,0.5308387196490036,,,,,2015
201411080ATL,-0.24168484741937712,-0.9035083273968985,-1.1859505533881265,-0.36948781935781505,-0.45381764426408777,,-0.45381764426408777,,2015
201411080CHI,-0.17566279593947076,0.9013544791374466,0.39899156339955244,1.1470661358966607,,0.5811371788185481,,0.5811371788185481,2015
201411080HOU,1.3879609407740592,1.9485541693804649,1.5202392076146571,2.111583392954396,,1.134951987233325,,1.134951987233325,2015
201411080IND,0.4771955448270262,-1.365839616841539,0.7564119410234968,-2.492102661689022,0.44321970579375175,-1.2185342949882578,0.44321970579375175,-1.2185342949882578,2015
201411080LAC,0.02325966715883032,-0.7107346066014419,-0.08264060402471562,-0.440081174451433,,,,,2015
201411080MIA,-0.33590177261441845,-0.014832233938836037,-0.5784639527296429,-0.18781826605047947,,,,,2015
201411080MIL,2.334928413119116,-0.32352119160185744,2.744055191705569,0.27537861260566965,1.5002041353053286,0.31089740277180417,1.5002041353053286,0.31089740277180417,2015
201411080SAS,-0.3017092733873925,-0.15969612683781342,0.014825719402971504,-0.6017531299066952,,,,,2015
201411090BRK,0.005934710885613592,0.03350257153420877,0.08030998422374669,0.06061751272205207,-0.5679003702979545,,-0.5679003702979545,,2015
201411090DAL,0.23766206923575295,0.4136758160799312,0.09454836609671302,0.4651017982740404,0.3288885659795069,0.18212068905673917,0.3288885659795069,0.18212068905673917,2015
201411090DET,0.017147232959981107,-0.4688656371241029,0.1614461884405063,-0.09205922468911298,0.03343372872770772,,0.03343372872770772,,2015
201411090LAL,-0.17092407745516347,-0.9606985178114407,-0.3257278570745905,-1.4898421727951754,-0.5130785396632096,,-0.5130785396632096,,2015
201411090OKC,2.8278474701956924,-0.378230665373565,2.7874416781131646,-2.0276844809007395,1.2223651298099163,-1.041236001282364,1.2223651298099163,-1.041236001282364,2015
201411090PHO,1.799636071982376,-0.7735100136487549,2.1944357085608788,-0.7715829462361561,,0.12133377444338155,,0.12133377444338155,2015
201411090POR,-1.7463885410337348,-0.3456132881120273,-1.624175642875585,-0.3993837604834667,,-0.23982609881978023,,-0.23982609881978023,2015
201411090TOR,-1.4416460988570186,1.3119618956271166,-1.8228203347570548,1.449337362690895,-0.9596269131928019,0.7482440574184747,-0.9596269131928019,0.7482440574184747,2015
201411100CHI,-1.0749380667052142,0.09606013479962794,-0.7285215360566264,0.3127468738661019,-0.48153219833693833,0.5294362742555839,-0.48153219833693833,0.5294362742555839,2015
201411100CLE,0.43564406794256394,-1.2099685677966603,0.8785762479702757,0.11938453185896902,,,,,2015
201411100IND,0.6232196625410928,-1.775464360508197,0.7979084998080195,-3.0460331621751306,0.21901483205062444,-1.7494357854941873,0.21901483205062444,-1.7494357854941873,2015
201411100LAC,-0.8970494681677699,-0.3418616513305839,-1.4655036584739989,-0.12333801799268151,,0.02452604532505533,,0.02452604532505533,2015
201411100NYK,-0.6128900855651382,-0.5323030892511378,-0.007090017048241748,-1.5483483556977,,-0.60805032000639,,-0.60805032000639,2015
201411110DAL,2.2756448548292134,-0.338214718899871,2.5391015651326527,-0.20805067863833226,1.7147159048965142,0.1861904180412799,1.7147159048965142,0.1861904180412799,2015
201411110GSW,-0.35148863119576035,1.3626192065185685,-0.9026590054179624,1.6759892966333259,-0.5372296794122171,1.253455345453867,-0.5372296794122171,1.253455345453867,2015
201411110MEM,-0.4013333575095941,1.6905687615403195,-0.9651515041726282,1.9944005244754406,-0.9007385087308561,1.7861309622340575,-0.9007385087308561,1.7861309622340575,2015
201411110MIL,0.173971949992914,0.32083845997693894,-1.7793443679202277,1.0250332798357982,-1.2659123668809247,0.5077531053120511,-1.2659123668809247,0.5077531053120511,2015
201411110POR,-0.73028923775701,-0.14171641060250817,-0.8504185256971377,-0.19646448355738677,-0.6808317831803464,-0.3444512084674887,-0.6808317831803464,-0.3444512084674887,2015
201411110TOR,-0.21775571580233777,1.405687240187568,-0.09177993169770682,1.5425563085654375,-0.5427669002863774,0.9580023354426291,-0.5427669002863774,0.9580023354426291,2015
201411120ATL,0.18948028562814345,-0.1560475262869936,0.5497706681437262,0.6203452855895062,0.38566319029771656,0.01079041154795346,0.38566319029771656,0.01079041154795346,2015
201411120BOS,-0.26842936218463587,0.6296315483983483,-2.4682920246740867,1.2333108254301117,-1.550412356582929,0.4612137806395799,-1.550412356582929,0.4612137806395799,2015
201411120DEN,0.1419148534191672,-1.9502854185432534,0.056655241422522096,-1.8270949198016648,-0.30909540058581025,-0.79522470669381,-0.30909540058581025,-0.79522470669381,2015
201411120MIA,-1.3417249835952476,0.9895526042155556,-2.797895330510837,0.7677008430090853,-2.1428594497016875,0.40495447120798506,-2.1428594497016875,0.40495447120798506,2015
201411120MIN,1.536879038172148,-0.5883960757890074,1.437386892008174,-0.8608305848768354,1.3087753481545288,-0.39914050189578093,1.3087753481545288,-0.39914050189578093,2015
201411120NOP,-0.5772172895969503,0.1137768472185754,-1.109298239730562,0.5202108728337707,-1.0198804276057913,0.1713524140223277,-1.0198804276057913,0.1713524140223277,2015
201411120NYK,-0.3725419832232282,-0.9891456485292824,-0.22085379886550793,-2.1757836583354475,-0.47503752457180487,-0.9630894145139566,-0.47503752457180487,-0.9630894145139566,2015
