,elo_prob1,elo_prob2,carm-elo_prob1,carm-elo_prob2,raptor_prob1,raptor_prob2,raptor_prob1_pred,raptor_prob2_pred
201411050MIL,0.3268230795929067,0.6731769204070932,,,,,0.33924925,0.611214
201411050WAS,0.7174671169263979,0.2825328830736021,,,,,0.68244135,0.31304228
201411050SAS,0.8483479561212748,0.1516520438787252,,,,,0.78021556,0.18701258
201411050BOS,0.3906353308453049,0.609364669154695,,,,,0.39877465,0.5801642
201411050CHO,0.5250606107678356,0.4749393892321644,,,,,0.49010694,0.48087052
201411050BRK,0.6747360587779166,0.3252639412220833,,,,,0.611214,0.35812223
201411050PHI,0.5822006914518085,0.4177993085481915,,,,,0.53672117,0.43115702
201411060POR,0.5919761997974322,0.4080238002025678,,,,,0.5500779,0.41444147
201411060HOU,0.5653865157640535,0.4346134842359465,,,,,0.5381449,0.44483662
201411070CHO,0.6538473723191562,0.3461526276808437,,,,,0.6045937,0.36521718
201411070UTA,0.3693925312084974,0.6306074687915026,,,,,0.37609246,0.60696167
201411070DEN,0.6304704162250988,0.3695295837749012,,,,,0.60696167,0.37609246
201411070OKC,0.589475261133243,0.410524738866757,,,,,0.5500779,0.41052237
201411070ORL,0.3903058321124255,0.6096941678875745,,,,,0.39877465,0.5801642
201411070DET,0.6963448661469024,0.3036551338530976,,,,,0.7099254,0.33056906
201411070TOR,0.6509158675027826,0.3490841324972173,,,,,0.6045937,0.36521718
201411070PHI,0.2606532605532008,0.7393467394467992,,,,,0.2849944,0.68244135
201411070BOS,0.484888132821298,0.515111867178702,,,,,0.46398646,0.48777318
201411070BRK,0.6719175574864076,0.3280824425135924,,,,,0.611214,0.34350368
201411070PHO,0.7230124376172111,0.2769875623827889,,,,,0.68244135,0.32492748
201411080SAS,0.8637505285673039,0.136249471432696,,,,,0.78021556,0.1750565
201411080HOU,0.6741965009462217,0.3258034990537782,,,,,0.611214,0.33924925
201411080CHI,0.8343192620305593,0.1656807379694407,,,,,0.77821606,0.19213146
201411080ATL,0.6376021976904266,0.3623978023095734,,,,,0.60696167,0.35985962
201411080MIA,0.7176333678528074,0.2823666321471926,,,,,0.68244135,0.31304228
201411080MIL,0.2503453327698715,0.7496546672301285,,,,,0.2784765,0.6828601
201411080LAC,0.6832568435412488,0.3167431564587512,,,,,0.611214,0.3309612
201411080IND,0.5539305004861091,0.4460694995138908,,,,,0.515691,0.4616406
201411090DET,0.6364623113675134,0.3635376886324866,,,,,0.60696167,0.35985962
201411090PHO,0.4815535880724472,0.5184464119275528,,,,,0.5086042,0.49010694
201411090POR,0.7970807230739202,0.2029192769260798,,,,,0.7252039,0.24253584
201411090LAL,0.4753093313774527,0.5246906686225472,,,,,0.45960516,0.49010694
201411090OKC,0.7516598870194882,0.2483401129805118,,,,,0.6828601,0.2688922
201411090DAL,0.6731524769123726,0.3268475230876274,,,,,0.611214,0.33924925
201411090TOR,0.9067810541254576,0.0932189458745422,,,,,0.7948168,0.1423362
201411090BRK,0.8279100840785466,0.1720899159214534,,,,,0.74120706,0.19985905
201411100CHI,0.8359236890898567,0.1640763109101433,,,,,0.77821606,0.19213146
201411100CLE,0.6416346248634949,0.3583653751365051,,,,,0.60696167,0.36521718
201411100IND,0.7518621683357067,0.2481378316642932,,,,,0.6828601,0.2688922
201411100NYK,0.6274353026377479,0.372564697362252,,,,,0.60696167,0.37609246
201411100LAC,0.5628446530560366,0.4371553469439634,,,,,0.51496685,0.44483662
201411110POR,0.7468802750200907,0.2531197249799093,,,,,0.6828601,0.2784765
201411110MIL,0.3110523432461411,0.6889476567538588,,,,,0.3309612,0.611214
201411110GSW,0.5718460947856406,0.4281539052143593,,,,,0.53672117,0.4451612
201411110DAL,0.7711979682171255,0.2288020317828745,,,,,0.70485365,0.26824367
201411110TOR,0.8709261328321988,0.1290738671678012,,,,,0.78021556,0.1750565
201411110MEM,0.8558532644420661,0.1441467355579339,,,,,0.78021556,0.18701258
201411120MIA,0.7638479718307309,0.236152028169269,,,,,0.70485365,0.26711622
201411120WAS,0.842252401026421,0.157747598973579,,,,,0.78021556,0.19213146
201411120NYK,0.7830351002108072,0.2169648997891927,,,,,0.7252039,0.24497493
201411120BOS,0.4211417106320113,0.5788582893679887,,,,,0.4366389,0.53672117
201411120MIN,0.3176174788295685,0.6823825211704315,,,,,0.3309612,0.611214
201411120ATL,0.7815926628877005,0.2184073371122995,,,,,0.7252039,0.24497493
