,homeElo,awayElo,homeEloRAPTOR,awayEloRAPTOR,neutral
202101300CHI,1419.51516157252,1484.53394720595,1406.22619059122,1392.11363602495,0
202101300CHO,1432.11375110296,1621.99650813132,1431.47308004009,1641.06307515522,0
202101300DAL,1513.35216653576,1550.31276938074,1582.98612646555,1551.70390743414,0
202101300GSW,1431.41643276546,1402.77870490474,1453.50002542753,1393.0021681742,0
202101300MIA,1485.47900769057,1441.23302053961,1475.29418874608,1443.30563698914,0
202101300NOP,1510.40078944611,1537.75997137462,1525.20346735357,1487.06149848988,0
202101300SAS,1551.56441278343,1527.94588714718,1514.5244967012,1437.70565158781,0
202101310DEN,1604.26504467493,1624.67582818988,1614.87255065876,1650.88313555642,0
202101310IND,1542.70189942123,1559.12608428507,1514.46003042442,1553.88645561227,0
202101310MIN,1320.42982806164,1390.85146601651,1292.10458579285,1395.26305580336,0
202101310NYK,1458.79008372367,1628.55522525047,1441.65238460089,1640.82765779023,0
202101310TOR,1571.68693481395,1416.92178364414,1533.06998753463,1421.64130297705,0
202101310WAS,1378.2052434972,1542.90771878671,1428.57251239201,1535.13342224787,0
202102010ATL,1467.09512716908,1673.6952461975,1516.17558675443,1635.75442359625,0
202102010CHI,1414.93961799327,1449.02204247339,1394.90039571063,1434.90350014537,0
202102010CLE,1384.56062107648,1326.72067300167,1390.80789773165,1373.52289738372,0
202102010DAL,1503.74720041452,1559.91773550198,1597.26031821664,1572.05812193883,0
202102010MIA,1487.67913964842,1447.82459409963,1517.64448249203,1438.86430794192,0
202102010MIL,1606.28566513465,1489.1094907852,1619.69657492333,1420.41868460005,0
202102010NOP,1493.93145351669,1439.03288858176,1497.27636377348,1444.71544902708,0
202102010OKC,1477.83216881057,1554.22930730404,1415.50378933042,1472.08394821772,0
202102010SAS,1529.75812782801,1549.7521721026,1520.09518486185,1456.8492323115,0
202102020BRK,1535.926476874,1638.32326650075,1557.3493872527,1643.74446129217,0
202102020GSW,1443.27923165659,1579.39641519679,1469.33548869644,1604.45540230273,0
202102020IND,1529.80868480223,1579.09090715347,1508.88750943246,1470.44789524357,0
202102020ORL,1413.10556263443,1575.50315582366,1404.3193830386,1539.19745088318,0
202102020UTA,1616.65442280785,1390.91590601361,1644.55617994552,1383.76814518548,0
202102020WAS,1385.18648540991,1481.21816275996,1427.37821576025,1420.78288353834,0
202102030ATL,1461.21844903013,1499.03278042318,1522.43488120649,1588.46350717149,0
202102030CHI,1421.94718507505,1442.01447539161,1401.78300689925,1434.6724303277,0
202102030CHO,1461.95410544047,1572.01929890407,1438.81362148958,1579.30895046663,0
202102030CLE,1387.02561929121,1631.94303626038,1362.14279096984,1647.8800617488,0
202102030MIA,1473.54962830758,1374.01388746797,1521.04811572268,1416.96547955373,0
202102030MIL,1614.17699315989,1542.32374505163,1638.51526120261,1506.0447905634,0
202102030NOP,1478.17134938023,1564.63215549332,1487.45522332443,1571.24993420632,0
202102030OKC,1454.03468914194,1578.02678697267,1274.5435770036,1489.9908069145,0
202102030SAC,1454.79299271822,1584.90649394665,1457.5595921206,1547.93265011091,0
202102030SAS,1500.41939277714,1324.25567478694,1485.80493748674,1330.64401560896,0
202102040ATL,1451.63974661046,1619.10892931617,1494.05015847104,1645.37443851802,0
202102040DAL,1508.61148284285,1437.76915290673,1587.65924909361,1472.22500923083,0
202102040LAL,1679.57192433645,1612.28645005696,1649.21068941242,1613.70337471011,0
202102040MEM,1566.57584690407,1562.06303616559,1485.16542890454,1441.35378088298,0
202102040PHI,1580.12316068936,1492.3907607019,1623.87488370348,1197.82374968587,0
202102050BRK,1542.30670711437,1586.04794117676,1629.07014718162,1521.27089477305,0
202102050CHO,1453.85024365518,1632.10472943902,1431.55127072865,1656.81504845845,0
202102050CLE,1377.52451779719,1621.98367962438,1346.20307246833,1647.50078996761,0
202102050IND,1534.51705858714,1494.81920783683,1515.66841607208,1515.35982656171,0
