gameId,homeTeamElo,awayTeamElo,homeTeamEloAfter,awayTeamEloAfter
201911290SAS,1468.6042104964336,1602.6048760853423,1481.361665205595,1589.8474213761808
201911300HOU,1635.6003312608775,1355.3179031232273,1640.617568694345,1350.3006656897599
201911300MIL,1714.632347533207,1432.56335410834,1719.1149011911698,1428.0808004503772
201911300PHI,1607.9396264249706,1565.8282299263353,1611.2514768406904,1562.5163795106155
201911300SAC,1458.8952066715485,1623.1867722916475,1466.5094628759052,1615.5725160872908
201912010BRK,1484.7571756630214,1566.8053685673956,1479.2400852161395,1572.3224590142775
201912010DET,1427.8711925914465,1481.361665205595,1449.5720738780983,1459.6607839189433
201912010LAC,1589.8474213761808,1437.3622714670557,1596.322724912282,1430.8869679309546
201912010LAL,1597.5148665147335,1543.2746788499114,1578.4644537341258,1562.3250916305192
201912010MIN,1495.072255491418,1379.1270028596748,1479.5385004150326,1394.6607579360602
201912010NOP,1422.5119828711506,1522.2095421052984,1417.3298186226116,1527.3917063538374
201912010NYK,1283.7836464561015,1630.420826571043,1280.8162027642525,1633.388270262892
201912010ORL,1501.9757300307474,1470.169385312658,1505.9095715816845,1466.235543761721
201912010TOR,1692.5080634013714,1592.582425858594,1699.7986312316536,1585.2918580283117
201912020ATL,1350.3006656897599,1466.235543761721,1372.4010162417017,1444.1351932097791
201912020CHO,1428.0808004503772,1398.9670028543046,1418.3148303100193,1408.7329729946625
201912020MEM,1394.6607579360602,1562.5163795106155,1385.9418413657306,1571.235296080945
201912020MIL,1719.1149011911698,1280.8162027642525,1720.9692859171237,1278.9618180382986
201912020PHI,1611.2514768406904,1585.2918580283117,1617.474056821742,1579.0692780472602
201912020SAC,1466.5094628759052,1352.3283313610336,1452.1712217073007,1366.6665725296382
201912030CLE,1331.0032421529452,1449.5720738780983,1310.7360726797858,1469.8392433512577
201912030DEN,1615.5725160872908,1578.4644537341258,1601.7755724066,1592.2613974148164
201912030LAC,1596.322724912282,1552.5821510981655,1605.9511394809335,1542.953736529514
201912030NOP,1417.3298186226116,1562.3250916305192,1404.099538037197,1575.5553722159339
201912030SAS,1459.6607839189433,1640.617568694345,1466.6036803140105,1633.6746722992777
201912030TOR,1699.7986312316536,1572.3224590142775,1680.4881362774613,1591.6329539684698
201912030WAS,1430.8869679309546,1505.9095715816845,1422.3809577837753,1514.4155817288638
201912040ATL,1372.4010162417017,1479.2400852161395,1361.8920391239278,1489.7490623339133
201912040BOS,1633.388270262892,1591.6329539684698,1642.7687490475794,1582.2524751837825
201912040CHI,1366.6665725296382,1385.9418413657306,1373.2607923464163,1379.3476215489525
201912040CHO,1418.3148303100193,1444.1351932097791,1429.170902640214,1433.2791208795843
201912040DAL,1575.5553722159339,1479.5385004150326,1579.3751816468416,1475.7186909841248
201912040DET,1469.8392433512577,1720.9692859171237,1460.6821953298713,1730.12633393851
201912040OKC,1527.3917063538374,1571.235296080945,1517.961653580575,1580.6653488542074
201912040ORL,1514.4155817288638,1408.7329729946625,1519.9735143282803,1403.175040395246
