gameid,team,season,y.status,date,team.elo.booker.lm,opp.elo.booker.lm,team.elo.booker.combined,opp.elo.booker.combined,booker_odds.Pinnacle,elo.prob,raptor.prob,predict.prob.booker,predict.prob.combined,elo.court30.prob,raptor.court30.prob
201812230BOS,BOS,2019,1.0,2018-12-23,1611.6753112286956,1539.3575561888929,1550.060267178049,1548.6243618220967,0.7190510167677487,0.7343322737634373,0.7714689080222148,0.6039739137794529,0.5035054921624503,0.6487986794356889,0.6969221319477341
201812230BRK,PHO,2019,0.0,2018-12-23,1275.8300461529143,1439.4161143584572,1296.2451043169604,1447.5526331874385,0.2249640521359989,0.2191092747526867,0.1908234948700331,0.279401244976669,0.2938511687857179,0.2956889038263707,0.3076503719372414
201812230BRK,BRK,2019,1.0,2018-12-23,1439.4161143584572,1275.8300461529143,1447.5526331874385,1296.2451043169604,0.7750359478640011,0.7808907252473133,0.8091765051299669,0.7205987550233309,0.7061488312142822,0.7043110961736293,0.6923496280627586
201812230CLE,CLE,2019,0.0,2018-12-23,1267.0489577951057,1363.074466555354,1253.2429289585157,1363.360834779694,0.5,0.7439412785769799,0.4797730291876237,0.3665582039456475,0.3479339589072645,0.6600692683320951,0.3827326006995108
201812230CLE,CHI,2019,1.0,2018-12-23,1363.074466555354,1267.0489577951057,1363.360834779694,1253.2429289585157,0.5,0.2560587214230201,0.5202269708123763,0.6334417960543525,0.6520660410927355,0.3399307316679048,0.6172673993004891
201812230DET,DET,2019,0.0,2018-12-23,1475.820176066506,1294.1840037082363,1492.5065253801251,1329.3935927363125,0.7987088350500509,0.8037310970108851,0.8514451074094532,0.7410318104909458,0.7200500690272473,0.732398668827088,0.7923456499551802
201812230DET,ATL,2019,1.0,2018-12-23,1294.1840037082363,1475.820176066506,1329.3935927363125,1492.5065253801251,0.2012911649499491,0.1962689029891149,0.1485548925905467,0.2589681895090543,0.2799499309727528,0.267601331172912,0.2076543500448198
201812230GSW,LAC,2019,0.0,2018-12-23,1454.0117017868938,1702.4849060256274,1498.018523405683,1682.3555501095584,0.1559139784946236,0.2288477403548973,0.1275482098899436,0.1921526199206134,0.2559957913745521,0.3074907578570721,0.1749710897982474
201812230GSW,GSW,2019,1.0,2018-12-23,1702.4849060256274,1454.0117017868938,1682.3555501095584,1498.018523405683,0.8440860215053764,0.7711522596451027,0.8724517901100564,0.8078473800793865,0.7440042086254479,0.6925092421429279,0.8250289102017526
201812230IND,WAS,2019,0.0,2018-12-23,1331.1472370132915,1530.432678481504,1345.5615474704682,1521.9465735028575,0.1724972126974777,0.1709666915723722,0.2377490441178441,0.239953277752904,0.2648111856084509,0.2358011453812737,0.3752318709827507
201812230IND,IND,2019,1.0,2018-12-23,1530.432678481504,1331.1472370132915,1521.9465735028575,1345.5615474704682,0.8275027873025222,0.8290333084276278,0.7622509558821559,0.760046722247096,0.7351888143915489,0.7641988546187264,0.6247681290172493
201812230LAL,MEM,2019,1.0,2018-12-23,1484.8995318204215,1575.1327303319729,1462.6951846839054,1594.641858955354,0.3370774416576025,0.2358211433652376,0.3412821604824688,0.3716416579407993,0.3174961283182929,0.3158789455997207,0.4318724565600106
201812230LAL,LAL,2019,0.0,2018-12-23,1575.1327303319729,1484.8995318204215,1594.641858955354,1462.6951846839054,0.6629225583423974,0.7641788566347624,0.6587178395175312,0.6283583420592007,0.6825038716817071,0.6841210544002793,0.5681275434399894
201812230OKC,OKC,2019,0.0,2018-12-23,1624.0509916649737,1533.0581050179526,1647.4520926063617,1500.4222177490192,0.7016226364489742,0.8033932229003383,0.724065169439455,0.6293789957515931,0.7010134444008389,0.7319789464577345,0.6954958040305714
201812230OKC,MIN,2019,1.0,2018-12-23,1533.0581050179526,1624.0509916649737,1500.4222177490192,1647.4520926063617,0.2983773635510258,0.1966067770996616,0.275934830560545,0.370621004248407,0.298986555599161,0.2680210535422654,0.3045041959694284
201812230ORL,ORL,2019,0.0,2018-12-23,1493.7713880845065,1541.087162748332,1444.5327853185768,1611.072189936871,0.549193293261626,0.4948173512444767,0.6579160399744779,0.4337382880199321,0.2782976818262717,0.3956356030878676,0.5129539561287756
201812230ORL,MIA,2019,1.0,2018-12-23,1541.087162748332,1493.7713880845065,1611.072189936871,1444.5327853185768,0.450806706738374,0.5051826487555233,0.3420839600255221,0.5662617119800678,0.7217023181737282,0.6043643969121324,0.4870460438712243
201812230POR,POR,2019,1.0,2018-12-23,1600.0370416914038,1441.4046637928095,1591.8397196401208,1418.4423785904387,0.7251025524156791,0.7143817094712325,0.792819359611712,0.7148215556716909,0.7318269885788419,0.6256989124565436,0.6668979747681975
201812230POR,DAL,2019,0.0,2018-12-23,1441.4046637928095,1600.0370416914038,1418.4423785904387,1591.8397196401208,0.2748974475843209,0.2856182905287675,0.2071806403882879,0.2851784443283091,0.268173011421158,0.3743010875434564,0.3331020252318025
201812230SAC,SAC,2019,1.0,2018-12-23,1481.9074987989004,1481.6253423942007,1492.876782506836,1456.4233498141468,0.5,0.556623266878698,0.4446171846747649,0.5018451630140278,0.5536920026364327,0.4562413453441803,0.3554560143865592
201812230SAC,NOP,2019,0.0,2018-12-23,1481.6253423942007,1481.9074987989004,1456.4233498141468,1492.876782506836,0.5,0.443376733121302,0.5553828153252351,0.4981548369859722,0.4463079973635673,0.5437586546558196,0.6445439856134407
201812250BOS,PHI,2019,0.0,2018-12-25,1626.255274805849,1636.6349474350495,1667.5933082405222,1595.00818289463,0.3496503496503496,0.3697736470337271,0.3808599208179171,0.4836291883286783,0.6015858252301396,0.4674870421288214,0.4706071239699247
201812250BOS,BOS,2019,1.0,2018-12-25,1636.6349474350495,1626.255274805849,1595.00818289463,1667.5933082405222,0.6503496503496504,0.6302263529662728,0.6191400791820829,0.5163708116713217,0.3984141747698604,0.5325129578711786,0.5293928760300753
201812250GSW,LAL,2019,1.0,2018-12-25,1558.7642295528458,1727.402464086564,1550.6451577917571,1727.7612898501884,0.2257704124383205,0.2407002836052211,0.1808948140932611,0.2735835973360393,0.2639926435868465,0.3217171439067071,0.2426360258891339
201812250GSW,GSW,2019,0.0,2018-12-25,1727.402464086564,1558.7642295528458,1727.7612898501884,1550.6451577917571,0.7742295875616795,0.7592997163947789,0.8191051859067389,0.7264164026639608,0.7360073564131535,0.6782828560932929,0.7573639741108661
201812250HOU,OKC,2019,0.0,2018-12-25,1638.2032574711432,1609.4765989277817,1643.1010205044731,1613.108544755736,0.5092984332140034,0.4212017493361204,0.5154244174072293,0.5398173775469217,0.5416269495191747,0.5212647532161595,0.607467134676318
201812250HOU,HOU,2019,1.0,2018-12-25,1609.4765989277817,1638.2032574711432,1613.108544755736,1643.1010205044731,0.4907015667859966,0.5787982506638796,0.4845755825927706,0.4601826224530781,0.4583730504808253,0.4787352467838406,0.392532865323682
201812250NYK,NYK,2019,0.0,2018-12-25,1321.9453974135972,1636.3603406256968,1279.034346751773,1652.5000257618185,0.1911639762107052,0.2291353719390049,0.1991335264937666,0.1413452501095537,0.1048852712727756,0.1657362130828155,0.1430622627973937
201812250NYK,MIL,2019,1.0,2018-12-25,1636.3603406256968,1321.9453974135972,1652.5000257618185,1279.034346751773,0.8088360237892949,0.7708646280609951,0.8008664735062334,0.8586547498904462,0.8951147287272244,0.8342637869171844,0.8569377372026062
201812250UTA,UTA,2019,1.0,2018-12-25,1656.959765163131,1590.5064894058412,1682.5557745047122,1596.73688662455,0.7121294639383802,0.6955479437047424,0.7819585125606625,0.5958715300969942,0.6224052065717731,0.6042568407989832,0.6627980403226346
201812250UTA,POR,2019,0.0,2018-12-25,1590.5064894058412,1656.959765163131,1596.73688662455,1682.5557745047122,0.2878705360616198,0.3044520562952576,0.2180414874393375,0.4041284699030057,0.3775947934282268,0.3957431592010167,0.3372019596773653
201812260ATL,IND,2019,1.0,2018-12-26,1585.777575588131,1347.2639504184344,1610.0394600558432,1392.6654353920628,0.696969696969697,0.7373523325720649,0.8227422220760222,0.796933598058558,0.7765284224882192,0.8077109834387921,0.87427439737464
201812260ATL,ATL,2019,0.0,2018-12-26,1347.2639504184344,1585.777575588131,1392.6654353920628,1610.0394600558432,0.303030303030303,0.2626476674279351,0.1772577779239778,0.203066401941442,0.2234715775117808,0.1922890165612079,0.12572560262536
201812260BRK,CHO,2019,0.0,2018-12-26,1531.0532789480585,1514.145898906399,1528.179389935631,1520.3519882908968,0.4816782209417485,0.4018939347149368,0.4326150013647674,0.5228765771129322,0.509824156263557,0.5013431208111017,0.5239679767450778
201812260BRK,BRK,2019,1.0,2018-12-26,1514.145898906399,1531.0532789480585,1520.3519882908968,1528.179389935631,0.5183217790582515,0.5981060652850632,0.5673849986352326,0.4771234228870677,0.4901758437364429,0.4986568791888984,0.4760320232549221
201812260CHI,MIN,2019,1.0,2018-12-26,1472.8575880627727,1338.6629357863178,1469.4678838152806,1380.2155354485017,0.6162961291050673,0.5972416070601982,0.6584954589552718,0.6828131142068201,0.6243425193355843,0.6893189512585035,0.7424672345855271
201812260CHI,CHI,2019,0.0,2018-12-26,1338.6629357863178,1472.8575880627727,1380.2155354485017,1469.4678838152806,0.3837038708949328,0.4027583929398017,0.3415045410447282,0.3171868857931799,0.3756574806644157,0.3106810487414965,0.2575327654144729
201812260DAL,NOP,2019,0.0,2018-12-26,1457.8456863315223,1456.32354963811,1420.8355727965477,1427.4124231479716,0.4551104695456914,0.4421310470210647,0.4642349377821708,0.5007514145385338,0.4890977640917793,0.5425058155894927,0.5572697272441072
201812260DAL,DAL,2019,1.0,2018-12-26,1456.32354963811,1457.8456863315223,1427.4124231479716,1420.8355727965477,0.5448895304543085,0.5578689529789352,0.5357650622178292,0.4992485854614661,0.5109022359082207,0.4574941844105072,0.4427302727558928
201812260DET,WAS,2019,0.0,2018-12-26,1397.0106911919995,1498.1157793649686,1403.3872167145753,1432.8808540808757,0.370730681250493,0.3270103637022298,0.308064649507234,0.3571480298721552,0.4562284638480424,0.4209717165546301,0.4032042596100446
201812260DET,DET,2019,1.0,2018-12-26,1498.1157793649686,1397.0106911919995,1432.8808540808757,1403.3872167145753,0.629269318749507,0.6729896362977702,0.691935350492766,0.6428519701278447,0.5437715361519576,0.5790282834453698,0.5967957403899554
201812260LAC,SAC,2019,0.0,2018-12-26,1433.7441161811207,1488.5651804288989,1465.785835717223,1496.5598322715027,0.3528345968626329,0.309003882852893,0.2868595035445964,0.4203511937936837,0.4544005980083231,0.400873229641853,0.3683721100546561
201812260LAC,LAC,2019,1.0,2018-12-26,1488.5651804288989,1433.7441161811207,1496.5598322715027,1465.785835717223,0.647165403137367,0.690996117147107,0.7131404964554036,0.5796488062063163,0.5455994019916769,0.599126770358147,0.6316278899453438
201812260MEM,MEM,2019,1.0,2018-12-26,1458.9224786829254,1267.1197911522115,1459.5013784305931,1263.3200600652287,0.8026175403656022,0.757928759236406,0.8966299862819191,0.7521032871520846,0.7567727669354551,0.6766469618061485,0.8610347827660555
201812260MEM,CLE,2019,0.0,2018-12-26,1267.1197911522115,1458.9224786829254,1263.3200600652287,1459.5013784305931,0.1973824596343978,0.242071240763594,0.1033700137180808,0.2478967128479154,0.2432272330645448,0.3233530381938514,0.1389652172339444
201812260MIA,TOR,2019,1.0,2018-12-26,1526.9189852260918,1493.8441387057835,1521.2012967903977,1539.465531200276,0.5547708605204575,0.5400592268093113,0.5266606736239501,0.5460287248779724,0.4723049138895556,0.6372697237830797,0.6209750228513989
201812260MIA,MIA,2019,0.0,2018-12-26,1493.8441387057835,1526.9189852260918,1539.465531200276,1521.2012967903977,0.4452291394795424,0.4599407731906887,0.47333932637605,0.4539712751220277,0.5276950861104444,0.3627302762169201,0.3790249771486011
201812260ORL,PHO,2019,1.0,2018-12-26,1339.812473524601,1453.4880303125371,1318.1743451329148,1421.0842820178725,0.3355380937577051,0.2979605407750977,0.2958869247552402,0.3407114047839204,0.3547662163813099,0.3883920614926306,0.3845832838698417
