,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,team,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp,opp
gameId,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss,teamAbbr,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3pAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Ortg,Drtg,poss,pace,poss_per_poss,ass_per_poss
202110300NOP,NOP,240,38.8,90.8,0.4276,10.8,33.8,0.3292,14.8,19.2,0.7902,13.4,37.8,51.2,20.4,7.2,5.4,16,20.6,103.2,0.5212,0.4874,0.3722,0.2116,27.3,77.14,52.02,52.38,7.2,9.94,13.66,100,104.12,108.24,51.26,51.26,2.0174,0.4006,NOP,240,39.4,90.2,0.439,11.6,34.6,0.3432,17,20.8,0.7924,11.8,35,46.8,22.8,8,6.2,13.8,18.4,107.4,0.5426,0.5036,0.3836,0.235,22.86,72.7,47.98,57.8,7.98,11.1,12.16,100,108.24,104.12,51.04,51.04,2.107,0.4464
202110300PHI,PHI,240,40.4,84.4,0.4792,13.6,34,0.4122,15.6,18.4,0.8434,8.2,34.8,43,22.4,7.4,7.2,13.2,17.2,110,0.595,0.5594,0.4022,0.2212,19.54,77.46,49.92,55.92,7.78,14,12.46,100,115.02,110.74,49.07,49.07,2.2408,0.4578,PHI,240,39.2,87.6,0.4478,12.4,35,0.3544,14.8,18.8,0.7852,10,33,43,24.8,7.6,5,12,17.8,105.6,0.551,0.5186,0.4004,0.2164,22.54,80.46,50.08,63.32,7.94,9.96,11.12,100,110.74,115.02,49.265,49.265,2.1472,0.5034
202110300PHO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202110300WAS,WAS,245,41.4,90.6,0.4578,11,32.6,0.3316,18.4,23,0.8078,9.6,38.4,48,20.8,7.6,6,12.6,18.2,112.2,0.5572,0.5174,0.3578,0.2582,21.04,80.44,51.18,50.3,7.46,9.84,11.14,100,110.18,105.8,52.2625,53.36692708,2.1518,0.399,WAS,245,41.4,92.2,0.4502,9.6,30.6,0.3128,15.4,20.2,0.753,9.8,36.2,46,21.8,6.8,4.4,13.2,19.8,107.8,0.5346,0.5022,0.3308,0.2204,19.56,78.96,48.82,52.16,6.68,7.66,11.46,100,105.8,110.18,52.5975,53.75895833,2.049,0.4144
202110310BRK,BRK,240,37.2,86,0.4328,10.2,35.4,0.2832,17.6,21.6,0.835,8.2,39.2,47.4,21.6,7.6,6.2,14.2,19.8,102.2,0.5346,0.492,0.4108,0.2592,18.06,79.12,49.62,58.14,7.56,10.06,12.96,100,101.88,102.5,51.13,51.13,1.9996,0.4226,BRK,240,38.8,93.8,0.4142,9.8,32.6,0.301,15.4,19.8,0.7798,10.6,38.2,48.8,20,7.6,5.6,12,20.2,102.8,0.5026,0.4668,0.348,0.2104,20.88,81.94,50.38,51.58,7.58,10.98,10.42,100,102.5,101.88,52.3025,52.3025,1.9692,0.3822
202110310CHO,CHO,245,43,92.2,0.4676,13.8,34.6,0.3978,16.6,22,0.7632,11.2,33.4,44.6,25.4,9.8,4.4,14.2,17.8,116.4,0.5726,0.5424,0.374,0.2388,24.66,76.52,50.14,58.98,9.72,8.46,12.26,100,113.86,111.76,52.825,54.03645833,2.2024,0.4802,CHO,245,43.4,90.2,0.4812,12.2,38.2,0.3118,15.4,17.8,0.8584,10.2,35,45.2,24.4,7.8,5,16.4,19.6,114.4,0.5818,0.5478,0.4212,0.1962,23.48,75.34,49.86,55.72,7.64,8.48,14.44,100,111.76,113.86,52.4275,53.61369792,2.1756,0.4624
202110310DAL,DAL,240,35.2,88.8,0.3938,13,42,0.306,13.6,19.2,0.6902,10.4,35.8,46.2,19.4,6.8,5.2,13,20.2,97,0.4972,0.4666,0.4732,0.2198,20.08,80.6,47.68,55.54,6.86,10.2,11.78,100,98.64,105.24,50.26,50.26,1.932,0.3866,DAL,240,39.4,87.2,0.4518,13,35.4,0.3684,12,17.2,0.7138,8.8,41.6,50.4,24.2,7.2,6.4,15,20,103.8,0.548,0.5262,0.407,0.1992,19.4,79.92,52.32,60.9,7.32,13.7,13.66,100,105.24,98.64,50.785,50.785,2.0424,0.4742
202110310LAL,LAL,245,44.2,90.2,0.491,12.4,31.2,0.3998,15,19.4,0.7942,10.2,33.8,44,25.4,8.4,6.6,16.6,20.6,115.8,0.5896,0.5614,0.3478,0.216,24.44,71.7,48.64,58.62,8.26,10.68,14.56,100,113.36,113.06,52.9075,54.15177083,2.1936,0.4846,LAL,245,43,93.4,0.4614,12.6,34.8,0.3606,17,23.8,0.7138,13.4,33.2,46.6,27.6,9.8,3.2,14.6,18.6,115.6,0.5582,0.5296,0.3752,0.26,28.3,75.56,51.36,64.54,9.6,5.26,12.32,100,113.06,113.36,52.9525,54.1759375,2.1846,0.5218
202110310MIL,MIL,240,38.4,87.2,0.4416,12.4,39.8,0.318,18,23.8,0.7524,8.2,35.6,43.8,21.2,8.2,3.2,15,19.2,107.2,0.5498,0.5128,0.4546,0.2752,17.86,77.5,47.74,55.52,8,5.8,13.26,100,104.36,111.08,52.6525,52.6525,2.0386,0.4034,MIL,240,44.2,94.2,0.4688,11.8,37.2,0.3178,14.2,19,0.7784,10.2,38,48.2,27.4,8.2,2.8,13.6,20.2,114.4,0.5574,0.5314,0.396,0.2026,22.5,82.14,52.26,62.4,7.92,6.02,11.72,100,111.08,104.36,53.3125,53.3125,2.1436,0.514
202111010ATL,ATL,240,41.6,93.6,0.4472,8.8,27.8,0.3172,12.8,17.2,0.7322,14.8,35.2,50,23,6,2.8,13,17.8,104.8,0.5204,0.4942,0.2966,0.1842,29.48,78.08,53.18,55.64,6.14,4.76,11.34,100,108.02,112.92,49.985,49.985,2.0966,0.4596,ATL,240,41.8,91.6,0.4572,10.4,33.8,0.3054,15.6,18.8,0.844,10.2,34.2,44.4,24.6,7,5.6,10.2,18,109.6,0.5496,0.5136,0.37,0.2062,21.92,70.52,46.82,59.18,7.2,8.56,9.3,100,112.92,108.02,50.265,50.265,2.179,0.4892
